@RELATION	'emotions'

@ATTRIBUTE	eyes	NUMERIC
@ATTRIBUTE	eyes2	NUMERIC
@ATTRIBUTE	mouth	NUMERIC
@ATTRIBUTE	s_0	NUMERIC
@ATTRIBUTE	s_1	NUMERIC
@ATTRIBUTE	s_2	NUMERIC
@ATTRIBUTE	s_3	NUMERIC
@ATTRIBUTE	s_4	NUMERIC
@ATTRIBUTE	cpt_0	NUMERIC
@ATTRIBUTE	cpt_1	NUMERIC
@ATTRIBUTE	cpt_2	NUMERIC
@ATTRIBUTE	cpt_3	NUMERIC
@ATTRIBUTE	emotion	{AN,DI,FE,HA,NE,SA,SU}

@DATA
0, 0, 0, 0, 0, 0, 0, 0, 1094, 1276, 996, 1048, DI
0, 0, 0, 0, 0, 0, 0, 0, 991, 974, 961, 875, DI
0, 0, 0, 0, 0, 0, 0, 0, 937, 989, 817, 1050, DI
0, 0, 0, 0, 0, 0, 0, 0, 993, 1056, 865, 1120, DI
0, 0, 0, 0, 0, 0, 0, 0, 938, 935, 899, 958, DI
0, 0, 0, 0, 0, 0, 0, 0, 921, 929, 860, 979, DI
0, 0, 0, 0, 0, 0, 0, 0, 1012, 976, 990, 883, DI
0, 0, 0, 0, 0, 0, 0, 0, 712, 945, 945, 979, DI
0, 0, 0, 0, 0, 0, 0, 0, 731, 911, 962, 978, DI
0, 0, 0, 0, 0, 0, 0, 0, 721, 936, 926, 1008, DI
0, 0, 0, 0, 0, 0, 0, 0, 818, 894, 906, 947, DI
0, 0, 0, 0, 0, 0, 0, 0, 809, 880, 919, 954, DI
0, 0, 0, 0, 0, 0, 0, 0, 743, 874, 904, 901, DI
0, 0, 0, 0, 0, 0, 0, 0, 1185, 1250, 935, 967, FE
0, 0, 0, 0, 0, 0, 0, 0, 1175, 1295, 947, 960, FE
0, 0, 0, 0, 0, 0, 0, 0, 902, 996, 763, 1022, FE
0, 0, 0, 0, 0, 0, 0, 0, 904, 981, 792, 1085, FE
0, 0, 0, 0, 0, 0, 0, 0, 959, 1039, 916, 984, FE
0, 0, 0, 0, 0, 0, 0, 0, 980, 1109, 833, 988, FE
0, 0, 0, 0, 0, 0, 0, 0, 1008, 1053, 987, 920, HA
0, 0, 0, 0, 0, 0, 0, 0, 911, 915, 902, 807, HA
0, 0, 0, 0, 0, 0, 0, 0, 668, 919, 964, 981, HA
0, 0, 0, 0, 0, 0, 0, 0, 644, 903, 946, 959, HA
0, 0, 0, 0, 0, 0, 0, 0, 718, 802, 1047, 1028, HA
0, 0, 0, 0, 0, 0, 0, 0, 651, 876, 958, 964, HA
0, 0, 0, 0, 0, 0, 0, 0, 811, 901, 1119, 1137, HA
0, 0, 1, 0, 0, 0, 0, 0, 790, 845, 1026, 1073, HA
0, 0, 0, 0, 0, 0, 0, 0, 810, 844, 1030, 1064, HA
0, 0, 0, 0, 0, 0, 0, 0, 679, 820, 867, 984, HA
0, 0, 0, 0, 0, 0, 0, 0, 722, 824, 897, 1080, HA
0, 0, 0, 0, 0, 0, 0, 0, 794, 907, 965, 1151, HA
0, 0, 0, 0, 0, 0, 0, 0, 1036, 1015, 986, 980, HA
0, 0, 0, 0, 0, 0, 0, 0, 733, 837, 865, 1018, HA
0, 0, 0, 0, 0, 0, 0, 0, 754, 876, 924, 1044, HA
0, 0, 0, 0, 0, 0, 0, 0, 709, 796, 887, 953, HA
0, 0, 0, 0, 0, 0, 0, 0, 746, 825, 1004, 1157, HA
0, 0, 0, 0, 0, 0, 0, 0, 799, 878, 1039, 1201, HA
0, 0, 0, 0, 0, 0, 0, 0, 1197, 1197, 959, 962, HA
0, 0, 0, 0, 0, 0, 0, 0, 1173, 1189, 984, 983, HA
0, 0, 0, 0, 0, 0, 0, 0, 1205, 1215, 1066, 1095, HA
0, 0, 0, 0, 0, 0, 0, 0, 1185, 1202, 1034, 1045, HA
0, 0, 0, 0, 0, 0, 0, 0, 903, 981, 849, 1050, HA
0, 0, 0, 0, 0, 0, 0, 0, 1022, 1035, 955, 946, HA
0, 0, 0, 0, 0, 0, 0, 0, 931, 1021, 853, 1106, HA
0, 0, 0, 0, 0, 0, 0, 0, 878, 961, 718, 980, HA
0, 0, 0, 0, 0, 0, 0, 0, 948, 996, 831, 1112, HA
0, 0, 0, 0, 0, 0, 0, 0, 938, 989, 805, 1134, HA
0, 0, 0, 0, 0, 0, 0, 0, 863, 1045, 894, 1069, HA
0, 0, 0, 0, 0, 0, 0, 0, 856, 1031, 829, 1064, HA
0, 0, 0, 0, 0, 0, 0, 0, 882, 972, 904, 1068, HA
0, 0, 0, 0, 0, 0, 0, 0, 1004, 1075, 961, 938, HA
0, 0, 0, 0, 0, 0, 0, 0, 977, 1050, 964, 918, HA
0, 0, 0, 0, 0, 0, 0, 0, 811, 915, 1056, 1129, HA
0, 0, 0, 0, 0, 0, 0, 0, 823, 891, 1041, 1116, HA
0, 0, 0, 0, 0, 0, 0, 0, 795, 862, 1020, 1145, HA
0, 0, 0, 0, 0, 0, 0, 0, 846, 916, 943, 1140, HA
0, 0, 0, 0, 0, 0, 0, 0, 930, 1011, 840, 975, HA
0, 0, 0, 0, 0, 0, 0, 0, 984, 1019, 885, 854, NE
0, 0, 0, 0, 0, 0, 0, 0, 1030, 968, 871, 823, NE
0, 0, 0, 0, 0, 0, 0, 0, 839, 972, 722, 963, NE
0, 0, 0, 0, 0, 0, 0, 0, 814, 1013, 710, 976, NE
0, 0, 0, 0, 0, 0, 0, 0, 1020, 1038, 832, 795, NE
0, 0, 0, 0, 0, 0, 0, 0, 1000, 1064, 856, 774, NE
0, 0, 0, 0, 0, 0, 0, 0, 858, 789, 1041, 1098, NE
0, 0, 0, 0, 0, 0, 0, 0, 846, 785, 988, 1039, NE
0, 0, 0, 0, 0, 0, 0, 0, 830, 784, 986, 1038, NE
0, 0, 0, 0, 0, 0, 0, 0, 839, 812, 1012, 1035, NE
0, 0, 0, 0, 0, 0, 0, 0, 845, 921, 815, 899, NE
0, 0, 0, 0, 0, 0, 0, 0, 781, 929, 793, 905, NE
0, 0, 0, 0, 1, 0, 0, 0, 979, 1002, 716, 695, SA
0, 0, 0, 0, 0, 0, 0, 0, 1156, 1207, 899, 876, SA
0, 0, 0, 0, 0, 0, 0, 0, 890, 901, 954, 917, SA
0, 0, 0, 0, 0, 0, 0, 0, 973, 956, 1032, 958, SA
0, 0, 0, 0, 0, 0, 0, 0, 915, 1013, 850, 985, SA
0, 0, 0, 0, 0, 0, 0, 0, 948, 1062, 876, 993, SA
0, 0, 0, 0, 0, 0, 0, 0, 1190, 1271, 860, 833, SU
0, 0, 0, 0, 0, 0, 0, 0, 1040, 1030, 927, 987, SU
0, 0, 0, 0, 0, 0, 0, 0, 1155, 1123, 884, 865, SU
0, 0, 0, 0, 0, 0, 0, 0, 1287, 1267, 913, 921, SU
0, 0, 0, 0, 0, 0, 0, 0, 1002, 1139, 681, 838, SU
0, 0, 0, 0, 0, 0, 0, 0, 1059, 1205, 793, 876, SU
0, 0, 0, 0, 0, 0, 0, 0, 1101, 1130, 912, 982, SU
0, 0, 0, 0, 0, 0, 0, 0, 1123, 1102, 876, 971, SU
0, 0, 0, 0, 0, 0, 0, 0, 734, 937, 948, 941, SU
0, 0, 0, 0, 0, 0, 0, 0, 689, 983, 984, 965, SU
0, 0, 0, 0, 0, 0, 0, 0, 1133, 1221, 848, 857, SU
0, 0, 0, 0, 0, 0, 0, 0, 1034, 1152, 870, 929, SU
0, 0, 0, 0, 0, 0, 0, 0, 1257, 1210, 922, 874, SU
0, 0, 0, 0, 0, 0, 0, 0, 1241, 1142, 843, 844, SU
0, 0, 0, 0, 0, 0, 0, 0, 753, 662, 878, 867, HA
0, 0, 1, 0, 0, 0, 0, 0, 753, 574, 774, 762, NE
0, 0, 0, 0, 0, 0, 0, 0, 746, 687, 788, 793, SA
0, 0, 0, 0, 0, 0, 0, 0, 1001, 677, 782, 786, SU
0, 0, 0, 0, 0, 0, 0, 0, 776, 526, 519, 491, HA
0, 0, 0, 0, 0, 0, 0, 0, 747, 518, 496, 516, NE
0, 0, 0, 0, 0, 0, 0, 0, 810, 496, 527, 497, SA
0, 0, 0, 0, 0, 0, 0, 0, 981, 801, 453, 456, SU
0, 0, 0, 0, 0, 0, 0, 0, 636, 440, 678, 741, HA
0, 0, 0, 0, 0, 0, 0, 0, 674, 460, 619, 575, NE
0, 0, 0, 0, 0, 0, 0, 0, 624, 472, 561, 661, SA
0, 0, 0, 0, 0, 0, 0, 0, 888, 608, 553, 566, SU
0, 0, 0, 0, 0, 0, 0, 0, 600, 704, 796, 654, HA
0, 0, 0, 0, 1, 0, 0, 0, 561, 616, 553, 520, NE
0, 0, 0, 0, 1, 0, 0, 0, 561, 616, 553, 520, SA
0, 0, 0, 0, 0, 0, 0, 0, 614, 587, 576, 536, SU
0, 0, 0, 0, 0, 0, 0, 0, 782, 695, 780, 700, HA
0, 0, 0, 0, 0, 0, 0, 0, 760, 714, 729, 734, NE
0, 0, 0, 0, 0, 0, 0, 0, 776, 725, 761, 782, SA
0, 0, 0, 0, 0, 0, 0, 0, 876, 739, 737, 792, SU
0, 0, 0, 0, 1, 0, 0, 0, 630, 641, 805, 868, HA
0, 0, 1, 0, 0, 0, 0, 0, 662, 637, 727, 677, NE
0, 0, 0, 0, 0, 0, 0, 0, 656, 627, 816, 806, SA
0, 0, 1, 0, 0, 0, 0, 0, 808, 684, 581, 589, SU
0, 0, 0, 0, 0, 0, 0, 0, 746, 736, 780, 784, HA
0, 0, 1, 0, 0, 0, 0, 0, 728, 541, 591, 592, NE
0, 0, 0, 0, 0, 0, 0, 0, 565, 623, 659, 726, SA
0, 0, 0, 0, 0, 0, 0, 0, 636, 776, 691, 679, SU
0, 0, 1, 0, 0, 0, 0, 0, 1081, 827, 1009, 1022, HA
0, 0, 0, 0, 0, 0, 0, 0, 877, 731, 779, 838, NE
0, 0, 0, 0, 0, 0, 0, 0, 1076, 830, 948, 877, SA
0, 0, 0, 0, 0, 0, 0, 0, 1073, 1069, 709, 749, SU
0, 0, 0, 0, 1, 0, 0, 0, 779, 773, 707, 766, HA
0, 0, 0, 0, 0, 0, 0, 0, 793, 782, 692, 735, NE
0, 0, 0, 0, 0, 0, 0, 0, 791, 657, 642, 730, SA
0, 0, 0, 0, 0, 0, 0, 0, 761, 806, 632, 753, SU
0, 0, 0, 0, 0, 0, 0, 0, 672, 636, 735, 796, HA
0, 0, 0, 0, 0, 0, 0, 0, 600, 637, 559, 557, NE
0, 0, 0, 0, 0, 0, 0, 0, 580, 634, 619, 623, SA
0, 0, 0, 0, 0, 0, 0, 0, 756, 755, 587, 568, SU
0, 0, 0, 0, 0, 0, 0, 0, 698, 698, 556, 532, HA
0, 0, 1, 0, 1, 0, 0, 0, 731, 712, 499, 538, NE
0, 0, 0, 0, 0, 0, 0, 0, 718, 766, 624, 646, SA
0, 0, 0, 0, 0, 0, 0, 0, 824, 763, 556, 567, SU
0, 0, 0, 0, 0, 0, 0, 0, 680, 704, 742, 783, HA
0, 0, 0, 0, 0, 0, 0, 0, 827, 637, 614, 674, NE
0, 0, 0, 0, 0, 0, 0, 0, 856, 652, 668, 773, SA
0, 0, 0, 0, 0, 0, 0, 0, 924, 920, 568, 684, SU
0, 0, 0, 0, 0, 0, 0, 0, 923, 772, 690, 744, HA
0, 0, 0, 0, 0, 0, 0, 0, 892, 788, 546, 651, NE
0, 0, 0, 0, 0, 0, 0, 0, 904, 819, 804, 868, SA
0, 0, 0, 0, 0, 0, 0, 0, 999, 898, 664, 815, SU
0, 0, 1, 0, 0, 0, 0, 0, 609, 491, 522, 576, HA
0, 0, 2, 0, 0, 0, 0, 0, 687, 558, 635, 594, NE
0, 0, 1, 0, 0, 0, 0, 0, 658, 539, 565, 533, SA
0, 0, 2, 0, 0, 0, 0, 0, 733, 533, 644, 602, SU
0, 0, 0, 0, 0, 0, 0, 0, 692, 880, 857, 997, AN
0, 0, 0, 0, 0, 0, 0, 0, 499, 620, 768, 921, AN
0, 0, 0, 0, 0, 0, 0, 0, 1423, 1410, 875, 1039, AN
0, 0, 0, 0, 0, 0, 0, 0, 705, 672, 866, 816, AN
0, 0, 0, 0, 0, 0, 0, 0, 1272, 1162, 1046, 1173, AN
0, 0, 0, 0, 0, 0, 0, 0, 807, 957, 831, 777, AN
0, 0, 0, 0, 0, 0, 0, 0, 1076, 986, 1042, 1141, AN
0, 0, 0, 0, 0, 0, 0, 0, 822, 505, 603, 535, AN
0, 0, 0, 0, 0, 0, 0, 0, 850, 733, 655, 708, HA
0, 0, 0, 0, 0, 0, 0, 0, 758, 759, 673, 773, NE
0, 0, 0, 0, 0, 0, 0, 0, 720, 721, 582, 624, SA
0, 0, 0, 0, 0, 0, 0, 0, 976, 918, 806, 871, SU
0, 0, 0, 0, 0, 0, 0, 0, 743, 479, 682, 655, AN
0, 0, 0, 0, 0, 0, 0, 0, 240, 591, 562, 439, AN
0, 0, 0, 0, 0, 0, 0, 0, 1026, 1272, 867, 1235, AN
0, 0, 0, 0, 0, 0, 0, 0, 642, 490, 382, 351, AN
0, 0, 0, 0, 0, 0, 0, 0, 1120, 991, 1306, 1280, AN
0, 0, 0, 0, 0, 0, 0, 0, 888, 977, 835, 771, AN
0, 0, 0, 0, 0, 0, 0, 0, 1151, 779, 828, 828, AN
0, 0, 0, 0, 0, 0, 0, 0, 625, 718, 720, 527, AN
0, 0, 0, 0, 0, 0, 0, 0, 975, 963, 931, 1100, AN
0, 0, 0, 0, 0, 0, 0, 0, 763, 991, 589, 536, DI
0, 0, 0, 0, 0, 0, 0, 0, 873, 1074, 698, 703, DI
0, 0, 0, 0, 0, 0, 0, 0, 743, 1002, 683, 645, DI
0, 0, 0, 0, 0, 0, 0, 0, 766, 924, 592, 651, FE
0, 0, 0, 0, 0, 0, 0, 0, 802, 1100, 723, 794, FE
0, 0, 0, 0, 0, 0, 0, 0, 895, 1122, 650, 710, FE
0, 0, 0, 0, 0, 0, 0, 0, 993, 983, 654, 735, FE
0, 0, 1, 0, 0, 0, 0, 0, 718, 756, 647, 663, HA
0, 0, 0, 0, 0, 0, 0, 0, 727, 845, 715, 689, HA
0, 0, 0, 0, 0, 0, 0, 0, 881, 978, 879, 787, HA
0, 0, 0, 0, 0, 0, 0, 0, 842, 918, 632, 628, HA
0, 0, 0, 0, 0, 0, 0, 0, 724, 874, 544, 569, NE
0, 0, 0, 0, 0, 0, 0, 0, 738, 864, 566, 587, NE
0, 0, 0, 0, 0, 0, 0, 0, 804, 932, 645, 713, NE
0, 0, 0, 0, 0, 0, 0, 0, 765, 977, 654, 634, SA
0, 0, 0, 0, 0, 0, 0, 0, 837, 1045, 660, 641, SA
0, 0, 1, 0, 0, 0, 0, 0, 714, 879, 536, 505, SA
0, 0, 1, 0, 0, 0, 0, 0, 848, 889, 589, 516, SU
0, 0, 0, 0, 0, 0, 0, 0, 948, 993, 628, 584, SU
0, 0, 0, 0, 0, 0, 0, 0, 903, 992, 578, 553, SU
0, 0, 1, 0, 0, 0, 0, 0, 764, 845, 549, 717, DI
0, 0, 2, 0, 0, 0, 0, 0, 659, 725, 462, 585, DI
0, 0, 3, 0, 0, 0, 0, 0, 658, 701, 440, 612, DI
0, 0, 2, 0, 0, 0, 0, 0, 719, 752, 491, 584, DI
0, 0, 0, 0, 0, 0, 0, 0, 793, 872, 584, 641, FE
0, 0, 1, 0, 1, 0, 0, 0, 834, 884, 556, 662, FE
0, 0, 1, 0, 0, 0, 0, 0, 700, 771, 444, 555, FE
0, 0, 0, 0, 0, 0, 0, 0, 651, 835, 607, 671, HA
0, 0, 0, 0, 0, 0, 0, 0, 711, 869, 620, 728, HA
0, 0, 1, 0, 0, 0, 0, 0, 678, 819, 608, 733, HA
0, 0, 0, 0, 0, 0, 0, 0, 731, 838, 536, 619, NE
0, 0, 1, 0, 1, 0, 0, 1, 596, 701, 436, 513, NE
0, 0, 2, 0, 1, 0, 0, 0, 578, 696, 449, 507, NE
0, 0, 2, 0, 0, 0, 0, 0, 647, 722, 432, 528, SA
0, 0, 1, 0, 0, 0, 0, 0, 633, 734, 394, 532, SA
0, 0, 2, 0, 0, 0, 0, 0, 661, 750, 447, 522, SA
0, 0, 0, 0, 0, 0, 0, 0, 795, 867, 459, 623, SU
0, 0, 0, 0, 0, 0, 0, 0, 710, 794, 350, 441, SU
0, 0, 0, 0, 0, 0, 0, 0, 661, 761, 377, 483, SU
0, 0, 0, 0, 0, 0, 0, 0, 766, 930, 584, 644, DI
0, 0, 0, 0, 0, 0, 0, 0, 752, 885, 632, 704, DI
0, 0, 0, 0, 0, 0, 0, 0, 827, 1021, 651, 818, FE
0, 0, 0, 0, 0, 0, 0, 0, 815, 849, 647, 739, FE
0, 0, 0, 0, 0, 0, 0, 0, 765, 889, 505, 777, FE
0, 0, 0, 0, 0, 0, 0, 0, 786, 921, 816, 838, HA
0, 0, 0, 0, 0, 0, 0, 0, 727, 827, 682, 832, HA
0, 0, 0, 0, 0, 0, 0, 0, 778, 895, 767, 856, HA
0, 0, 0, 0, 0, 0, 0, 0, 790, 902, 800, 965, HA
0, 0, 0, 0, 0, 0, 0, 0, 663, 752, 549, 619, NE
0, 0, 0, 0, 0, 0, 0, 0, 758, 874, 624, 658, NE
0, 0, 0, 0, 0, 0, 0, 0, 693, 765, 544, 578, NE
0, 0, 0, 0, 0, 0, 0, 0, 715, 827, 512, 614, SA
0, 0, 1, 0, 0, 0, 0, 0, 853, 915, 601, 636, SA
0, 0, 0, 0, 0, 0, 0, 0, 804, 944, 561, 673, SA
0, 0, 0, 0, 0, 0, 0, 0, 800, 831, 531, 617, SA
0, 0, 0, 0, 0, 0, 0, 0, 709, 870, 518, 615, SU
0, 0, 0, 0, 0, 0, 0, 0, 743, 855, 529, 627, SU
0, 0, 0, 0, 0, 0, 0, 0, 705, 867, 529, 637, SU
0, 0, 0, 0, 0, 0, 0, 0, 800, 833, 652, 666, DI
0, 0, 0, 0, 0, 0, 0, 0, 774, 838, 613, 577, DI
0, 0, 0, 0, 0, 0, 0, 0, 722, 739, 526, 496, DI
0, 0, 1, 0, 0, 0, 0, 0, 694, 773, 547, 542, FE
0, 0, 0, 0, 0, 0, 0, 0, 842, 907, 718, 688, FE
0, 0, 0, 0, 0, 0, 0, 0, 818, 909, 719, 669, FE
0, 0, 0, 0, 0, 0, 0, 0, 697, 766, 565, 525, HA
0, 0, 0, 0, 0, 0, 0, 0, 691, 761, 667, 576, HA
0, 0, 0, 0, 0, 0, 0, 0, 702, 787, 482, 502, NE
0, 0, 0, 0, 0, 0, 0, 0, 711, 777, 486, 477, NE
0, 0, 0, 0, 0, 0, 0, 0, 814, 851, 587, 584, NE
0, 0, 0, 0, 0, 0, 0, 0, 793, 898, 648, 602, SA
0, 0, 0, 0, 0, 0, 0, 0, 805, 889, 643, 603, SA
0, 0, 0, 0, 0, 0, 0, 0, 798, 871, 688, 646, SA
0, 0, 0, 0, 0, 0, 0, 0, 778, 876, 644, 597, SU
0, 0, 0, 0, 0, 0, 0, 0, 790, 896, 689, 591, SU
0, 0, 0, 0, 0, 0, 0, 0, 735, 814, 550, 494, SU
0, 0, 0, 0, 0, 0, 0, 0, 675, 880, 658, 889, DI
0, 0, 0, 0, 0, 0, 0, 0, 809, 963, 834, 1090, DI
0, 0, 0, 0, 0, 0, 0, 0, 799, 907, 759, 1057, DI
0, 0, 0, 0, 0, 0, 0, 0, 909, 1044, 711, 881, FE
0, 0, 0, 0, 0, 0, 0, 0, 770, 921, 609, 848, FE
0, 0, 0, 0, 0, 0, 0, 0, 896, 979, 714, 878, FE
0, 0, 1, 0, 0, 0, 0, 0, 667, 864, 764, 799, HA
0, 0, 0, 0, 0, 0, 0, 0, 676, 840, 658, 756, HA
0, 0, 0, 0, 0, 0, 0, 0, 771, 936, 831, 907, HA
0, 0, 0, 0, 0, 0, 0, 0, 759, 1024, 605, 714, NE
0, 0, 0, 0, 0, 0, 0, 0, 669, 824, 527, 645, NE
0, 0, 0, 0, 0, 0, 0, 0, 790, 932, 630, 766, NE
0, 0, 0, 0, 0, 0, 0, 0, 638, 789, 648, 766, SA
0, 0, 0, 0, 0, 0, 0, 0, 686, 909, 667, 721, SA
0, 0, 1, 0, 0, 0, 0, 0, 743, 834, 715, 859, SA
0, 0, 0, 0, 0, 0, 0, 0, 901, 1004, 490, 558, SU
0, 0, 0, 0, 0, 0, 0, 0, 848, 944, 517, 582, SU
0, 0, 0, 0, 0, 0, 0, 0, 862, 987, 571, 707, SU
0, 0, 0, 0, 1, 0, 0, 0, 593, 682, 413, 684, DI
0, 0, 0, 0, 0, 0, 0, 0, 511, 829, 430, 711, DI
0, 0, 0, 0, 0, 0, 0, 0, 515, 786, 450, 687, DI
0, 0, 0, 0, 0, 0, 0, 0, 687, 910, 521, 782, FE
0, 0, 0, 0, 0, 0, 0, 0, 628, 859, 466, 696, FE
0, 0, 0, 0, 0, 0, 0, 0, 717, 924, 542, 820, FE
0, 0, 0, 0, 0, 0, 0, 0, 822, 1008, 779, 907, HA
0, 0, 0, 0, 0, 0, 0, 0, 600, 817, 638, 733, HA
0, 0, 0, 0, 0, 0, 0, 0, 598, 810, 663, 755, HA
0, 0, 0, 0, 0, 0, 0, 0, 683, 895, 502, 627, NE
0, 0, 0, 0, 0, 0, 0, 0, 764, 940, 584, 713, NE
0, 0, 0, 0, 0, 0, 0, 0, 619, 850, 531, 629, NE
0, 0, 0, 0, 0, 0, 0, 0, 739, 855, 582, 747, SA
0, 0, 0, 0, 0, 0, 0, 0, 788, 907, 628, 743, SA
0, 0, 0, 0, 0, 0, 0, 0, 818, 979, 606, 712, SA
0, 0, 0, 0, 0, 0, 0, 0, 737, 1034, 667, 931, SU
0, 0, 0, 0, 0, 0, 0, 0, 893, 1013, 571, 856, SU
0, 0, 0, 0, 0, 0, 0, 0, 838, 923, 637, 769, SU
0, 0, 0, 0, 0, 0, 0, 0, 529, 940, 613, 615, DI
0, 0, 0, 0, 0, 0, 0, 0, 680, 971, 657, 796, DI
0, 0, 0, 0, 0, 0, 0, 0, 672, 924, 554, 710, FE
0, 0, 0, 0, 0, 0, 0, 0, 649, 938, 575, 704, FE
0, 0, 1, 0, 0, 0, 0, 0, 696, 892, 626, 727, FE
0, 0, 0, 0, 0, 0, 0, 0, 848, 915, 728, 811, HA
0, 0, 0, 0, 0, 0, 0, 0, 868, 909, 685, 784, HA
0, 0, 0, 0, 0, 0, 0, 0, 830, 940, 675, 758, HA
0, 0, 0, 0, 0, 0, 0, 0, 714, 879, 570, 655, NE
0, 0, 0, 0, 0, 0, 0, 0, 728, 852, 498, 615, NE
0, 0, 1, 0, 0, 0, 0, 0, 793, 960, 649, 728, NE
0, 0, 0, 0, 0, 0, 0, 0, 847, 908, 699, 723, SA
0, 0, 0, 0, 0, 0, 0, 0, 713, 836, 548, 639, SA
0, 0, 1, 0, 0, 0, 0, 0, 859, 945, 651, 742, SA
0, 0, 1, 0, 0, 0, 0, 0, 644, 873, 566, 705, SU
0, 0, 1, 0, 0, 0, 0, 0, 676, 911, 542, 668, SU
0, 0, 0, 0, 0, 0, 0, 0, 822, 1008, 653, 766, SU
0, 0, 0, 0, 0, 0, 0, 0, 589, 667, 511, 710, DI
0, 0, 0, 0, 0, 0, 0, 0, 697, 685, 638, 793, DI
0, 0, 0, 0, 0, 0, 0, 0, 626, 697, 597, 788, DI
0, 0, 0, 0, 0, 0, 0, 0, 884, 850, 826, 1098, FE
0, 0, 0, 0, 0, 0, 0, 0, 851, 854, 737, 1065, FE
0, 0, 0, 0, 0, 0, 0, 0, 770, 762, 698, 967, FE
0, 0, 0, 0, 0, 0, 0, 0, 688, 715, 723, 866, HA
0, 0, 0, 0, 0, 0, 0, 0, 610, 682, 592, 823, HA
0, 0, 0, 0, 0, 0, 0, 0, 602, 615, 702, 848, HA
0, 0, 0, 0, 0, 0, 0, 0, 719, 752, 729, 868, NE
0, 0, 0, 0, 0, 0, 0, 0, 684, 752, 642, 845, NE
0, 0, 0, 0, 0, 0, 0, 0, 636, 640, 698, 799, NE
0, 0, 0, 0, 0, 0, 0, 0, 643, 661, 499, 681, SA
0, 0, 0, 0, 0, 0, 0, 0, 742, 763, 802, 845, SA
0, 0, 0, 0, 0, 0, 0, 0, 640, 670, 698, 808, SA
0, 0, 0, 0, 0, 0, 0, 0, 726, 768, 770, 911, SU
0, 0, 0, 0, 0, 0, 0, 0, 631, 635, 678, 786, SU
0, 0, 0, 0, 0, 0, 0, 0, 716, 747, 824, 812, SU
0, 0, 0, 0, 0, 0, 0, 0, 773, 964, 618, 823, DI
0, 0, 0, 0, 0, 0, 0, 0, 682, 867, 506, 768, DI
0, 0, 1, 0, 0, 0, 0, 0, 643, 870, 578, 785, DI
0, 0, 0, 0, 0, 0, 0, 0, 851, 998, 611, 787, FE
0, 0, 0, 0, 0, 0, 0, 0, 700, 849, 506, 687, FE
