@RELATION	'emotions'

@ATTRIBUTE	eyes	NUMERIC
@ATTRIBUTE	eyes2	NUMERIC
@ATTRIBUTE	mouth	NUMERIC
@ATTRIBUTE	s_0	NUMERIC
@ATTRIBUTE	s_1	NUMERIC
@ATTRIBUTE	s_2	NUMERIC
@ATTRIBUTE	s_3	NUMERIC
@ATTRIBUTE	s_4	NUMERIC
@ATTRIBUTE	cpt_0	NUMERIC
@ATTRIBUTE	cpt_1	NUMERIC
@ATTRIBUTE	cpt_2	NUMERIC
@ATTRIBUTE	cpt_3	NUMERIC
@ATTRIBUTE	cpt_4	NUMERIC
@ATTRIBUTE	cpt_5	NUMERIC
@ATTRIBUTE	cpt_6	NUMERIC
@ATTRIBUTE	cpt_7	NUMERIC
@ATTRIBUTE	cpt_8	NUMERIC
@ATTRIBUTE	cpt_9	NUMERIC
@ATTRIBUTE	cpt_10	NUMERIC
@ATTRIBUTE	cpt_11	NUMERIC
@ATTRIBUTE	cpt_12	NUMERIC
@ATTRIBUTE	cpt_13	NUMERIC
@ATTRIBUTE	cpt_14	NUMERIC
@ATTRIBUTE	cpt_15	NUMERIC
@ATTRIBUTE	cpt_16	NUMERIC
@ATTRIBUTE	cpt_17	NUMERIC
@ATTRIBUTE	cpt_18	NUMERIC
@ATTRIBUTE	cpt_19	NUMERIC
@ATTRIBUTE	cpt_20	NUMERIC
@ATTRIBUTE	cpt_21	NUMERIC
@ATTRIBUTE	cpt_22	NUMERIC
@ATTRIBUTE	cpt_23	NUMERIC
@ATTRIBUTE	cpt_24	NUMERIC
@ATTRIBUTE	cpt_25	NUMERIC
@ATTRIBUTE	cpt_26	NUMERIC
@ATTRIBUTE	cpt_27	NUMERIC
@ATTRIBUTE	cpt_28	NUMERIC
@ATTRIBUTE	cpt_29	NUMERIC
@ATTRIBUTE	cpt_30	NUMERIC
@ATTRIBUTE	cpt_31	NUMERIC
@ATTRIBUTE	cpt_32	NUMERIC
@ATTRIBUTE	cpt_33	NUMERIC
@ATTRIBUTE	cpt_34	NUMERIC
@ATTRIBUTE	cpt_35	NUMERIC
@ATTRIBUTE	cpt_36	NUMERIC
@ATTRIBUTE	cpt_37	NUMERIC
@ATTRIBUTE	cpt_38	NUMERIC
@ATTRIBUTE	cpt_39	NUMERIC
@ATTRIBUTE	cpt_40	NUMERIC
@ATTRIBUTE	cpt_41	NUMERIC
@ATTRIBUTE	cpt_42	NUMERIC
@ATTRIBUTE	cpt_43	NUMERIC
@ATTRIBUTE	cpt_44	NUMERIC
@ATTRIBUTE	cpt_45	NUMERIC
@ATTRIBUTE	cpt_46	NUMERIC
@ATTRIBUTE	cpt_47	NUMERIC
@ATTRIBUTE	cpt_48	NUMERIC
@ATTRIBUTE	cpt_49	NUMERIC
@ATTRIBUTE	cpt_50	NUMERIC
@ATTRIBUTE	cpt_51	NUMERIC
@ATTRIBUTE	cpt_52	NUMERIC
@ATTRIBUTE	cpt_53	NUMERIC
@ATTRIBUTE	cpt_54	NUMERIC
@ATTRIBUTE	cpt_55	NUMERIC
@ATTRIBUTE	cpt_56	NUMERIC
@ATTRIBUTE	cpt_57	NUMERIC
@ATTRIBUTE	cpt_58	NUMERIC
@ATTRIBUTE	cpt_59	NUMERIC
@ATTRIBUTE	cpt_60	NUMERIC
@ATTRIBUTE	cpt_61	NUMERIC
@ATTRIBUTE	cpt_62	NUMERIC
@ATTRIBUTE	cpt_63	NUMERIC
@ATTRIBUTE	cpt_64	NUMERIC
@ATTRIBUTE	cpt_65	NUMERIC
@ATTRIBUTE	cpt_66	NUMERIC
@ATTRIBUTE	cpt_67	NUMERIC
@ATTRIBUTE	cpt_68	NUMERIC
@ATTRIBUTE	cpt_69	NUMERIC
@ATTRIBUTE	cpt_70	NUMERIC
@ATTRIBUTE	cpt_71	NUMERIC
@ATTRIBUTE	cpt_72	NUMERIC
@ATTRIBUTE	cpt_73	NUMERIC
@ATTRIBUTE	cpt_74	NUMERIC
@ATTRIBUTE	cpt_75	NUMERIC
@ATTRIBUTE	cpt_76	NUMERIC
@ATTRIBUTE	cpt_77	NUMERIC
@ATTRIBUTE	cpt_78	NUMERIC
@ATTRIBUTE	cpt_79	NUMERIC
@ATTRIBUTE	cpt_80	NUMERIC
@ATTRIBUTE	cpt_81	NUMERIC
@ATTRIBUTE	cpt_82	NUMERIC
@ATTRIBUTE	cpt_83	NUMERIC
@ATTRIBUTE	cpt_84	NUMERIC
@ATTRIBUTE	cpt_85	NUMERIC
@ATTRIBUTE	cpt_86	NUMERIC
@ATTRIBUTE	cpt_87	NUMERIC
@ATTRIBUTE	cpt_88	NUMERIC
@ATTRIBUTE	cpt_89	NUMERIC
@ATTRIBUTE	cpt_90	NUMERIC
@ATTRIBUTE	cpt_91	NUMERIC
@ATTRIBUTE	cpt_92	NUMERIC
@ATTRIBUTE	cpt_93	NUMERIC
@ATTRIBUTE	cpt_94	NUMERIC
@ATTRIBUTE	cpt_95	NUMERIC
@ATTRIBUTE	cpt_96	NUMERIC
@ATTRIBUTE	cpt_97	NUMERIC
@ATTRIBUTE	cpt_98	NUMERIC
@ATTRIBUTE	cpt_99	NUMERIC
@ATTRIBUTE	cpt_100	NUMERIC
@ATTRIBUTE	cpt_101	NUMERIC
@ATTRIBUTE	cpt_102	NUMERIC
@ATTRIBUTE	cpt_103	NUMERIC
@ATTRIBUTE	cpt_104	NUMERIC
@ATTRIBUTE	cpt_105	NUMERIC
@ATTRIBUTE	cpt_106	NUMERIC
@ATTRIBUTE	cpt_107	NUMERIC
@ATTRIBUTE	cpt_108	NUMERIC
@ATTRIBUTE	cpt_109	NUMERIC
@ATTRIBUTE	cpt_110	NUMERIC
@ATTRIBUTE	cpt_111	NUMERIC
@ATTRIBUTE	cpt_112	NUMERIC
@ATTRIBUTE	cpt_113	NUMERIC
@ATTRIBUTE	cpt_114	NUMERIC
@ATTRIBUTE	cpt_115	NUMERIC
@ATTRIBUTE	cpt_116	NUMERIC
@ATTRIBUTE	cpt_117	NUMERIC
@ATTRIBUTE	cpt_118	NUMERIC
@ATTRIBUTE	cpt_119	NUMERIC
@ATTRIBUTE	cpt_120	NUMERIC
@ATTRIBUTE	cpt_121	NUMERIC
@ATTRIBUTE	cpt_122	NUMERIC
@ATTRIBUTE	cpt_123	NUMERIC
@ATTRIBUTE	cpt_124	NUMERIC
@ATTRIBUTE	cpt_125	NUMERIC
@ATTRIBUTE	cpt_126	NUMERIC
@ATTRIBUTE	cpt_127	NUMERIC
@ATTRIBUTE	cpt_128	NUMERIC
@ATTRIBUTE	cpt_129	NUMERIC
@ATTRIBUTE	cpt_130	NUMERIC
@ATTRIBUTE	cpt_131	NUMERIC
@ATTRIBUTE	cpt_132	NUMERIC
@ATTRIBUTE	cpt_133	NUMERIC
@ATTRIBUTE	cpt_134	NUMERIC
@ATTRIBUTE	cpt_135	NUMERIC
@ATTRIBUTE	cpt_136	NUMERIC
@ATTRIBUTE	cpt_137	NUMERIC
@ATTRIBUTE	cpt_138	NUMERIC
@ATTRIBUTE	cpt_139	NUMERIC
@ATTRIBUTE	cpt_140	NUMERIC
@ATTRIBUTE	cpt_141	NUMERIC
@ATTRIBUTE	cpt_142	NUMERIC
@ATTRIBUTE	cpt_143	NUMERIC
@ATTRIBUTE	emotion	{AN,DI,FE,HA,NE,SA,SU}

@DATA
0, 0, 0, 0, 0, 0, 0, 0, 14, 25, 4, 0, 0, 0, 5, 6, 19, 18, 12, 0, 26, 3, 1, 0, 0, 0, 4, 8, 16, 13, 29, 0, 24, 5, 3, 0, 2, 8, 20, 27, 23, 9, 36, 1, 21, 6, 12, 15, 17, 14, 13, 35, 31, 23, 44, 7, 33, 1, 15, 45, 43, 31, 11, 23, 9, 41, 34, 9, 20, 3, 9, 19, 41, 8, 13, 10, 3, 5, 24, 5, 49, 6, 2, 0, 0, 10, 8, 29, 9, 22, 22, 13, 24, 10, 2, 0, 9, 31, 5, 35, 21, 14, 12, 25, 25, 21, 3, 2, 20, 17, 27, 32, 24, 7, 12, 31, 41, 23, 5, 2, 14, 20, 19, 44, 28, 16, 3, 24, 22, 36, 29, 3, 8, 39, 38, 52, 25, 20, 7, 12, 22, 12, 27, 4, 12, 9, 30, 36, 6, 27, 23, 27, AN
0, 0, 0, 0, 0, 0, 0, 0, 12, 48, 39, 47, 53, 50, 53, 49, 53, 37, 33, 31, 7, 28, 43, 35, 34, 61, 60, 46, 39, 30, 20, 25, 0, 20, 44, 75, 65, 49, 36, 40, 25, 30, 23, 27, 0, 20, 49, 39, 41, 22, 18, 21, 29, 41, 51, 51, 0, 26, 57, 53, 53, 41, 28, 58, 61, 64, 29, 27, 0, 28, 48, 39, 32, 41, 5, 38, 40, 21, 9, 15, 0, 7, 40, 14, 20, 11, 12, 21, 1, 0, 1, 9, 0, 0, 29, 17, 37, 25, 25, 40, 34, 22, 11, 2, 0, 0, 10, 27, 34, 36, 44, 35, 33, 9, 13, 4, 1, 0, 16, 24, 35, 32, 35, 35, 25, 34, 11, 8, 28, 16, 9, 31, 30, 57, 31, 34, 41, 39, 20, 30, 0, 21, 26, 37, 30, 42, 19, 39, 31, 41, 17, 36, AN
0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 24, 7, 3, 2, 0, 2, 4, 24, 6, 2, 0, 24, 4, 7, 7, 11, 2, 13, 12, 12, 30, 12, 1, 22, 5, 7, 3, 7, 3, 3, 4, 17, 33, 15, 8, 36, 23, 14, 14, 2, 10, 5, 8, 30, 36, 16, 15, 30, 51, 52, 57, 31, 31, 31, 56, 52, 39, 12, 29, 5, 43, 34, 29, 38, 8, 39, 22, 20, 34, 5, 20, 1, 3, 12, 20, 8, 9, 34, 18, 20, 5, 6, 17, 4, 9, 15, 14, 34, 8, 35, 19, 16, 9, 4, 25, 12, 19, 7, 27, 29, 29, 27, 30, 0, 8, 11, 21, 14, 15, 1, 33, 55, 44, 41, 29, 7, 3, 9, 38, 14, 13, 30, 37, 37, 36, 35, 28, 40, 8, 8, 44, 20, 11, 42, 8, 5, 17, 8, 8, 36, 10, 28, AN
0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 32, 29, 13, 12, 18, 17, 18, 49, 46, 3, 15, 47, 34, 8, 14, 26, 29, 14, 12, 16, 63, 22, 22, 64, 18, 24, 9, 18, 23, 25, 27, 3, 41, 44, 40, 72, 2, 31, 33, 27, 28, 37, 30, 29, 6, 53, 43, 47, 20, 49, 36, 44, 41, 41, 48, 75, 51, 52, 45, 30, 62, 54, 38, 24, 25, 34, 46, 34, 19, 35, 39, 32, 9, 26, 17, 25, 11, 29, 18, 12, 23, 31, 19, 33, 17, 15, 51, 40, 43, 33, 65, 19, 17, 38, 24, 36, 9, 20, 26, 22, 30, 19, 28, 20, 19, 29, 34, 57, 2, 5, 9, 44, 57, 61, 34, 19, 17, 37, 53, 33, 23, 11, 19, 35, 34, 32, 29, 8, 8, 37, 37, 50, 31, 3, 4, 13, 35, 30, 20, 1, 9, 29, AN
0, 0, 0, 0, 0, 0, 0, 0, 56, 6, 3, 3, 1, 0, 0, 5, 9, 6, 17, 27, 50, 9, 4, 0, 4, 0, 0, 8, 0, 3, 11, 35, 42, 9, 0, 1, 0, 0, 3, 0, 12, 3, 7, 23, 40, 15, 15, 13, 12, 0, 3, 12, 8, 20, 19, 33, 32, 30, 44, 59, 64, 40, 6, 62, 73, 42, 41, 32, 42, 28, 28, 26, 29, 30, 16, 31, 25, 31, 27, 43, 27, 36, 3, 20, 10, 32, 24, 9, 23, 25, 19, 36, 3, 34, 3, 2, 19, 31, 4, 48, 14, 0, 6, 36, 0, 42, 21, 0, 26, 42, 14, 59, 27, 0, 8, 33, 1, 49, 11, 2, 3, 6, 43, 18, 6, 0, 14, 20, 43, 54, 21, 0, 26, 31, 30, 27, 25, 0, 13, 51, 10, 30, 44, 6, 22, 39, 42, 32, 6, 5, 37, 25, AN
0, 0, 0, 0, 0, 0, 0, 0, 19, 17, 33, 22, 34, 30, 22, 30, 35, 28, 5, 35, 22, 33, 39, 22, 0, 2, 0, 1, 0, 16, 29, 40, 20, 34, 25, 8, 0, 4, 2, 0, 21, 31, 31, 30, 11, 46, 30, 43, 53, 24, 4, 21, 42, 14, 42, 28, 11, 33, 19, 68, 61, 45, 17, 28, 59, 61, 6, 51, 10, 50, 20, 30, 25, 37, 17, 31, 17, 11, 1, 48, 39, 41, 2, 1, 25, 51, 24, 49, 13, 1, 0, 51, 23, 40, 1, 0, 15, 28, 32, 25, 29, 4, 2, 44, 10, 36, 5, 3, 36, 33, 27, 39, 27, 4, 14, 40, 17, 37, 6, 14, 38, 53, 65, 58, 38, 26, 26, 32, 41, 47, 40, 25, 43, 34, 24, 30, 50, 25, 41, 20, 38, 16, 42, 18, 9, 28, 41, 40, 12, 20, 41, 13, AN
0, 0, 0, 0, 0, 0, 0, 0, 13, 32, 36, 38, 39, 22, 32, 13, 21, 18, 21, 11, 38, 15, 13, 3, 2, 0, 0, 0, 0, 0, 2, 10, 18, 1, 0, 1, 0, 4, 0, 8, 1, 0, 3, 12, 26, 15, 25, 22, 4, 7, 4, 5, 9, 16, 7, 11, 33, 28, 13, 40, 44, 23, 27, 23, 26, 48, 27, 13, 36, 7, 41, 53, 43, 22, 3, 28, 28, 32, 6, 15, 39, 0, 3, 22, 19, 1, 6, 17, 28, 1, 0, 16, 35, 14, 0, 0, 1, 34, 4, 1, 25, 0, 0, 17, 34, 26, 0, 0, 23, 8, 15, 18, 22, 0, 0, 20, 0, 31, 1, 0, 17, 3, 10, 14, 12, 7, 0, 24, 0, 37, 3, 0, 8, 40, 32, 50, 41, 10, 11, 16, 8, 36, 36, 0, 19, 29, 24, 13, 11, 13, 38, 3, AN
0, 0, 0, 0, 0, 0, 0, 0, 7, 17, 21, 3, 11, 18, 8, 0, 0, 0, 12, 3, 34, 20, 0, 0, 2, 0, 0, 0, 0, 0, 0, 18, 30, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 35, 33, 13, 20, 20, 13, 0, 24, 42, 46, 30, 30, 46, 35, 48, 35, 32, 25, 24, 27, 17, 21, 31, 43, 43, 18, 22, 33, 32, 49, 4, 45, 34, 43, 12, 16, 32, 4, 1, 33, 22, 8, 19, 37, 5, 4, 2, 8, 22, 9, 4, 0, 29, 26, 8, 14, 54, 1, 0, 9, 15, 32, 5, 1, 26, 33, 14, 39, 7, 7, 0, 24, 13, 23, 12, 14, 30, 34, 35, 29, 39, 11, 0, 32, 8, 10, 34, 3, 6, 21, 31, 20, 0, 15, 20, 21, 4, 11, 38, 0, 3, 18, 45, 28, 0, 0, 35, 25, HA
0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 24, 3, 16, 20, 7, 0, 0, 0, 9, 1, 3, 12, 0, 0, 3, 0, 1, 1, 0, 0, 0, 13, 7, 23, 4, 0, 0, 1, 0, 0, 0, 0, 0, 25, 28, 31, 21, 33, 35, 28, 5, 33, 49, 40, 35, 28, 38, 35, 33, 30, 23, 17, 35, 19, 18, 20, 20, 44, 40, 11, 21, 28, 29, 45, 8, 45, 32, 37, 17, 24, 43, 1, 0, 17, 22, 9, 13, 23, 7, 6, 2, 7, 26, 7, 1, 9, 0, 35, 2, 17, 21, 0, 4, 25, 27, 29, 2, 8, 25, 48, 26, 53, 27, 5, 2, 24, 8, 31, 1, 1, 16, 22, 41, 38, 18, 1, 0, 39, 11, 19, 28, 0, 31, 40, 45, 31, 25, 10, 14, 31, 14, 20, 39, 0, 3, 20, 42, 29, 3, 1, 32, 16, NE
0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 9, 2, 10, 16, 2, 0, 0, 0, 7, 0, 18, 5, 0, 0, 3, 0, 1, 0, 0, 0, 2, 12, 12, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 24, 26, 20, 26, 25, 12, 4, 37, 54, 47, 30, 30, 48, 33, 35, 35, 26, 21, 33, 14, 14, 22, 16, 39, 43, 0, 28, 28, 31, 37, 10, 44, 35, 32, 9, 20, 37, 0, 0, 26, 22, 25, 9, 24, 7, 3, 0, 5, 27, 4, 0, 11, 1, 39, 3, 35, 4, 0, 0, 14, 26, 30, 11, 0, 20, 44, 3, 41, 35, 11, 0, 25, 4, 22, 2, 4, 13, 17, 44, 23, 17, 3, 0, 35, 6, 20, 24, 0, 37, 34, 34, 27, 20, 9, 10, 25, 1, 9, 35, 0, 13, 19, 11, 10, 9, 0, 37, 20, SA
0, 0, 0, 0, 0, 0, 0, 0, 30, 2, 22, 33, 31, 35, 33, 22, 10, 15, 26, 33, 37, 11, 2, 8, 0, 0, 1, 0, 6, 6, 11, 32, 34, 10, 0, 0, 0, 0, 0, 0, 0, 6, 13, 30, 32, 30, 36, 63, 42, 14, 0, 30, 58, 65, 48, 41, 35, 37, 42, 37, 25, 20, 32, 21, 29, 50, 18, 60, 40, 33, 11, 44, 33, 41, 7, 42, 43, 31, 2, 36, 34, 14, 0, 22, 26, 14, 17, 19, 16, 8, 0, 18, 23, 8, 0, 6, 8, 25, 2, 20, 12, 1, 1, 29, 14, 26, 2, 10, 41, 50, 32, 53, 38, 2, 23, 30, 20, 28, 14, 1, 19, 29, 52, 28, 7, 0, 33, 22, 29, 16, 41, 2, 12, 40, 11, 29, 17, 0, 34, 22, 18, 24, 48, 2, 1, 30, 33, 38, 22, 0, 50, 16, SU
0, 0, 0, 0, 0, 0, 0, 0, 45, 10, 1, 17, 6, 2, 0, 8, 0, 2, 0, 0, 48, 2, 17, 1, 0, 4, 0, 0, 0, 1, 6, 3, 48, 9, 26, 9, 3, 9, 4, 10, 6, 0, 3, 7, 29, 17, 33, 29, 8, 8, 27, 22, 16, 2, 10, 12, 5, 34, 38, 24, 13, 47, 19, 34, 4, 19, 23, 20, 9, 13, 25, 33, 43, 17, 6, 17, 42, 15, 15, 30, 9, 21, 1, 14, 39, 24, 17, 15, 34, 34, 48, 30, 4, 1, 1, 35, 18, 30, 26, 28, 47, 3, 3, 10, 1, 0, 30, 4, 31, 13, 5, 16, 37, 4, 1, 8, 28, 6, 26, 12, 41, 35, 25, 10, 32, 1, 0, 3, 24, 26, 6, 16, 28, 39, 50, 8, 25, 10, 0, 0, 28, 26, 5, 0, 0, 0, 6, 13, 24, 9, 2, 20, AN
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 21, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7, 14, 28, 2, 0, 0, 0, 1, 2, 1, 11, 6, 31, 20, 28, 9, 5, 0, 0, 24, 17, 7, 18, 27, 30, 23, 26, 48, 27, 0, 21, 47, 40, 8, 8, 14, 6, 10, 10, 31, 34, 0, 13, 16, 1, 0, 6, 13, 0, 0, 0, 35, 32, 4, 0, 0, 32, 0, 9, 9, 31, 1, 0, 19, 9, 25, 0, 0, 35, 1, 21, 15, 5, 12, 0, 4, 0, 32, 0, 6, 25, 1, 7, 0, 0, 2, 1, 0, 0, 35, 6, 15, 9, 42, 21, 23, 23, 19, 7, 1, 0, 31, 15, 7, 30, 51, 9, 20, 17, 11, 10, 3, AN
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 17, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 2, 3, 3, 0, 8, 0, 0, 0, 0, 0, 0, 1, 41, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 16, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26, 3, 9, 4, 0, 0, 0, 0, 0, AN
0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 17, 35, 20, 13, 1, 0, 25, 14, 31, 38, 20, 3, 22, 17, 39, 36, 43, 24, 37, 29, 24, 31, 10, 3, 28, 38, 33, 30, 13, 14, 7, 21, 36, 32, 13, 0, 32, 38, 20, 17, 11, 42, 46, 27, 19, 19, 44, 11, 18, 34, 53, 30, 49, 57, 62, 44, 29, 10, 11, 30, 8, 64, 48, 44, 26, 51, 37, 37, 6, 17, 0, 41, 37, 29, 34, 45, 28, 20, 32, 24, 7, 32, 0, 14, 40, 21, 22, 32, 27, 40, 40, 11, 21, 31, 0, 0, 39, 17, 37, 37, 39, 49, 19, 35, 35, 38, 1, 2, 39, 24, 21, 24, 49, 18, 39, 37, 18, 40, 2, 5, 20, 50, 40, 23, 46, 36, 32, 33, 29, 32, 0, 0, 0, 50, 37, 23, 25, 41, 29, 37, 26, 40, AN
0, 0, 0, 0, 0, 0, 0, 0, 14, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 15, 60, 16, 0, 0, 4, 15, 5, 5, 3, 0, 16, 33, 30, 36, 12, 0, 11, 38, 3, 18, 29, 35, 8, 33, 16, 3, 27, 13, 22, 24, 12, 22, 21, 0, 0, 33, 2, 23, 36, 31, 12, 0, 13, 24, 59, 18, 1, 33, 0, 10, 23, 20, 11, 0, 22, 2, 4, 15, 0, 26, 2, 0, 0, 2, 0, 0, 15, 0, 0, 0, 0, 31, 0, 0, 0, 3, 16, 0, 5, 27, 0, 0, 0, 40, 0, 0, 0, 27, 15, 7, 27, 39, 16, 0, 0, 31, 11, 0, 0, 8, 13, 18, 21, 23, 1, 0, 0, 1, 31, 0, 0, 0, 3, 19, 17, 5, 2, 0, 0, 0, 33, 0, 0, 9, 35, 20, 25, 49, 0, 0, 0, AN
0, 0, 0, 0, 0, 0, 0, 0, 19, 16, 23, 26, 40, 15, 5, 3, 5, 23, 16, 18, 22, 27, 27, 5, 13, 6, 9, 2, 7, 8, 27, 36, 33, 39, 10, 11, 15, 20, 9, 12, 6, 8, 19, 52, 45, 42, 17, 20, 8, 12, 11, 16, 24, 58, 21, 49, 32, 44, 41, 57, 44, 37, 29, 33, 57, 38, 15, 57, 23, 48, 38, 35, 37, 44, 30, 52, 52, 33, 13, 64, 4, 60, 10, 32, 29, 12, 21, 22, 22, 8, 5, 69, 0, 53, 11, 19, 51, 23, 23, 33, 23, 14, 3, 44, 3, 40, 8, 14, 48, 36, 40, 37, 35, 26, 5, 16, 5, 13, 25, 35, 41, 60, 63, 53, 55, 27, 27, 21, 39, 43, 30, 41, 53, 49, 35, 39, 54, 40, 25, 31, 46, 58, 41, 30, 17, 41, 49, 48, 25, 27, 50, 31, AN
0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 26, 34, 22, 9, 13, 18, 12, 19, 14, 0, 0, 12, 18, 14, 22, 15, 7, 11, 31, 25, 22, 7, 0, 1, 13, 18, 18, 9, 27, 2, 42, 43, 24, 45, 4, 10, 46, 23, 18, 18, 24, 61, 26, 34, 9, 53, 11, 16, 29, 43, 27, 1, 15, 25, 33, 12, 22, 53, 24, 17, 31, 42, 55, 40, 58, 42, 19, 38, 5, 36, 25, 20, 26, 26, 36, 34, 25, 17, 0, 3, 11, 1, 38, 1, 7, 19, 37, 14, 18, 35, 0, 0, 25, 3, 34, 1, 0, 32, 31, 19, 25, 38, 3, 0, 25, 0, 15, 22, 1, 1, 7, 20, 18, 28, 2, 1, 28, 0, 8, 47, 5, 23, 39, 37, 35, 36, 16, 6, 31, 4, 14, 52, 27, 31, 39, 36, 50, 31, 17, 8, 34, AN
0, 0, 0, 0, 0, 0, 0, 0, 45, 25, 6, 16, 26, 31, 26, 13, 1, 32, 5, 3, 28, 28, 21, 20, 27, 31, 29, 5, 25, 27, 27, 1, 24, 37, 27, 31, 24, 23, 29, 25, 9, 11, 32, 0, 24, 27, 31, 18, 26, 26, 8, 22, 32, 61, 33, 0, 19, 28, 7, 46, 53, 37, 38, 24, 54, 59, 32, 0, 25, 18, 23, 47, 34, 48, 39, 16, 52, 35, 33, 0, 39, 20, 9, 10, 39, 29, 10, 0, 14, 26, 35, 0, 26, 12, 21, 18, 18, 35, 22, 0, 27, 16, 33, 0, 36, 4, 8, 20, 23, 31, 61, 48, 30, 13, 32, 0, 23, 15, 21, 17, 16, 34, 45, 55, 43, 22, 29, 0, 20, 20, 5, 24, 17, 35, 58, 40, 51, 29, 18, 0, 5, 23, 7, 12, 22, 29, 16, 15, 16, 40, 0, 0, AN
0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 10, 0, 0, 0, 0, 0, 0, 7, 23, 25, 0, 40, 26, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 32, 35, 0, 0, 0, 2, 3, 0, 0, 0, 30, 0, 33, 23, 46, 27, 5, 8, 15, 30, 19, 3, 21, 4, 54, 29, 21, 15, 17, 44, 45, 57, 64, 28, 29, 0, 18, 13, 0, 0, 42, 16, 26, 0, 0, 5, 47, 0, 0, 22, 29, 33, 25, 0, 32, 20, 27, 28, 14, 0, 2, 18, 0, 26, 8, 7, 19, 16, 0, 0, 31, 23, 2, 26, 9, 27, 17, 20, 2, 0, 0, 0, 4, 38, 0, 0, 28, 8, 32, 28, 32, 2, 0, 2, 2, 30, 38, 0, 46, 16, 6, 0, 1, 0, 0, 0, 26, 2, 34, 14, 65, 28, 1, 0, 1, 13, 0, 1, 37, AN
0, 0, 0, 0, 0, 0, 0, 0, 12, 31, 0, 0, 4, 5, 4, 8, 4, 3, 1, 40, 28, 21, 18, 21, 15, 13, 10, 11, 22, 20, 19, 46, 0, 31, 33, 25, 12, 19, 11, 15, 18, 42, 33, 23, 20, 29, 55, 51, 33, 19, 28, 9, 37, 38, 44, 23, 23, 47, 32, 48, 52, 34, 27, 36, 47, 53, 25, 27, 0, 39, 30, 40, 29, 33, 23, 20, 28, 47, 20, 30, 0, 21, 16, 6, 6, 26, 21, 30, 17, 7, 14, 19, 37, 31, 11, 6, 32, 25, 6, 22, 40, 12, 15, 24, 24, 46, 19, 11, 9, 15, 30, 16, 2, 24, 10, 30, 27, 26, 13, 15, 33, 55, 44, 54, 53, 21, 15, 22, 28, 25, 20, 25, 26, 34, 64, 49, 41, 29, 9, 28, 28, 10, 13, 25, 23, 33, 39, 36, 39, 21, 24, 21, AN
0, 0, 0, 0, 0, 0, 0, 0, 6, 14, 13, 3, 10, 5, 15, 28, 23, 6, 12, 16, 6, 9, 4, 7, 16, 3, 5, 6, 26, 10, 26, 13, 11, 16, 7, 20, 12, 9, 7, 2, 23, 6, 25, 13, 8, 21, 32, 48, 60, 51, 7, 52, 60, 51, 24, 33, 21, 2, 13, 39, 32, 48, 13, 36, 38, 34, 9, 30, 6, 4, 45, 38, 49, 23, 11, 33, 48, 52, 23, 58, 3, 10, 3, 7, 1, 37, 4, 18, 12, 0, 4, 46, 3, 4, 12, 2, 6, 47, 2, 32, 0, 0, 6, 39, 6, 0, 11, 0, 43, 50, 14, 47, 4, 0, 29, 7, 8, 0, 5, 4, 5, 19, 29, 13, 0, 3, 25, 1, 20, 2, 7, 13, 52, 57, 47, 42, 19, 6, 20, 3, 10, 15, 2, 8, 7, 27, 42, 19, 2, 17, 3, 1, DI
