@RELATION	'emotions'

@ATTRIBUTE	eyes	NUMERIC
@ATTRIBUTE	eyes2	NUMERIC
@ATTRIBUTE	mouth	NUMERIC
@ATTRIBUTE	s_0	NUMERIC
@ATTRIBUTE	s_1	NUMERIC
@ATTRIBUTE	s_2	NUMERIC
@ATTRIBUTE	s_3	NUMERIC
@ATTRIBUTE	s_4	NUMERIC
@ATTRIBUTE	cpt_0	NUMERIC
@ATTRIBUTE	cpt_1	NUMERIC
@ATTRIBUTE	cpt_2	NUMERIC
@ATTRIBUTE	cpt_3	NUMERIC
@ATTRIBUTE	cpt_4	NUMERIC
@ATTRIBUTE	cpt_5	NUMERIC
@ATTRIBUTE	cpt_6	NUMERIC
@ATTRIBUTE	cpt_7	NUMERIC
@ATTRIBUTE	cpt_8	NUMERIC
@ATTRIBUTE	emotion	{AN,DI,FE,HA,NE,SA,SU}

@DATA
0, 0, 0, 0, 0, 0, 0, 0, 397, 278, 436, 410, 474, 444, 280, 571, 352, DI
0, 0, 0, 0, 0, 0, 0, 0, 421, 216, 431, 482, 617, 496, 331, 530, 252, DI
0, 0, 0, 0, 0, 0, 0, 0, 263, 129, 393, 404, 553, 482, 368, 551, 382, DI
0, 0, 0, 0, 0, 0, 0, 0, 249, 139, 365, 425, 566, 452, 388, 531, 385, DI
0, 0, 0, 0, 0, 0, 0, 0, 253, 169, 374, 403, 546, 459, 366, 545, 391, DI
0, 0, 0, 0, 0, 0, 0, 0, 227, 355, 320, 417, 523, 436, 306, 576, 307, DI
0, 0, 0, 0, 0, 0, 0, 0, 245, 353, 315, 397, 507, 439, 312, 587, 328, DI
0, 0, 0, 0, 0, 0, 0, 0, 229, 328, 327, 370, 526, 435, 271, 578, 293, DI
0, 0, 0, 0, 0, 0, 0, 0, 443, 529, 544, 533, 494, 501, 349, 494, 365, FE
0, 0, 0, 0, 0, 0, 0, 0, 425, 532, 574, 538, 516, 529, 303, 523, 349, FE
0, 0, 0, 0, 0, 0, 0, 0, 389, 250, 425, 347, 508, 507, 269, 525, 392, FE
0, 0, 0, 0, 0, 0, 0, 0, 398, 244, 422, 341, 534, 517, 273, 551, 412, FE
0, 0, 0, 0, 0, 0, 0, 0, 388, 379, 451, 387, 530, 439, 373, 500, 381, FE
0, 0, 0, 0, 0, 0, 0, 0, 394, 400, 469, 348, 543, 493, 325, 520, 364, FE
0, 0, 0, 0, 0, 0, 0, 0, 383, 256, 459, 486, 607, 541, 388, 444, 339, HA
0, 0, 0, 0, 0, 0, 0, 0, 336, 184, 386, 451, 576, 490, 337, 458, 260, HA
0, 0, 0, 0, 0, 0, 0, 0, 242, 175, 397, 335, 485, 442, 415, 545, 434, HA
0, 0, 0, 0, 0, 0, 0, 0, 213, 164, 390, 340, 486, 465, 383, 563, 386, HA
0, 0, 0, 0, 0, 0, 0, 0, 271, 161, 281, 345, 514, 464, 450, 589, 434, HA
0, 0, 0, 0, 0, 0, 0, 0, 185, 159, 370, 411, 493, 411, 378, 549, 376, HA
0, 0, 0, 0, 0, 0, 0, 0, 226, 319, 344, 453, 502, 485, 361, 795, 415, HA
0, 0, 1, 0, 0, 0, 0, 0, 217, 280, 303, 440, 485, 470, 357, 698, 400, HA
0, 0, 0, 0, 0, 0, 0, 0, 223, 299, 303, 448, 480, 456, 336, 726, 403, HA
0, 0, 0, 0, 0, 0, 0, 0, 207, 279, 344, 342, 406, 393, 284, 647, 379, HA
0, 0, 0, 0, 0, 0, 0, 0, 217, 266, 353, 392, 461, 417, 260, 675, 416, HA
0, 0, 0, 0, 0, 0, 0, 0, 257, 281, 354, 408, 504, 477, 313, 699, 450, HA
0, 0, 0, 0, 0, 0, 0, 0, 405, 233, 442, 504, 628, 533, 366, 490, 350, HA
0, 0, 0, 0, 0, 0, 0, 0, 231, 267, 352, 409, 454, 434, 278, 551, 412, HA
0, 0, 0, 0, 0, 0, 0, 0, 263, 305, 367, 376, 444, 461, 333, 557, 414, HA
0, 0, 0, 0, 0, 0, 0, 0, 226, 217, 346, 382, 452, 424, 279, 606, 333, HA
0, 0, 0, 0, 0, 0, 0, 0, 310, 151, 384, 360, 475, 458, 365, 638, 498, HA
0, 0, 0, 0, 0, 0, 0, 0, 330, 198, 415, 393, 484, 467, 363, 664, 509, HA
0, 0, 0, 0, 0, 0, 0, 0, 478, 400, 544, 533, 526, 539, 340, 512, 376, HA
0, 0, 0, 0, 0, 0, 0, 0, 459, 405, 542, 536, 526, 539, 345, 507, 398, HA
0, 0, 0, 0, 0, 0, 0, 0, 478, 369, 553, 564, 518, 587, 399, 592, 444, HA
0, 0, 0, 0, 0, 0, 0, 0, 462, 361, 581, 528, 525, 532, 396, 554, 442, HA
0, 0, 0, 0, 0, 0, 0, 0, 383, 206, 415, 394, 496, 492, 334, 539, 451, HA
0, 0, 0, 0, 0, 0, 0, 0, 392, 258, 443, 481, 623, 533, 336, 506, 313, HA
0, 0, 0, 0, 0, 0, 0, 0, 392, 238, 432, 391, 504, 510, 324, 568, 474, HA
0, 0, 0, 0, 0, 0, 0, 0, 405, 199, 426, 330, 465, 443, 300, 414, 446, HA
0, 0, 0, 0, 0, 0, 0, 0, 413, 230, 415, 413, 500, 489, 323, 484, 506, HA
0, 0, 0, 0, 0, 0, 0, 0, 389, 223, 425, 385, 506, 497, 321, 501, 524, HA
0, 0, 0, 0, 0, 0, 0, 0, 373, 227, 443, 372, 483, 536, 344, 581, 451, HA
0, 0, 0, 0, 0, 0, 0, 0, 362, 229, 426, 351, 502, 540, 301, 560, 452, HA
0, 0, 0, 0, 0, 0, 0, 0, 345, 224, 415, 442, 503, 489, 313, 609, 440, HA
0, 0, 0, 0, 0, 0, 0, 0, 394, 241, 456, 506, 611, 545, 366, 453, 336, HA
0, 0, 0, 0, 0, 0, 0, 0, 385, 222, 441, 494, 590, 533, 364, 474, 334, HA
0, 0, 0, 0, 0, 0, 0, 0, 272, 203, 381, 504, 527, 442, 383, 621, 465, HA
0, 0, 0, 0, 0, 0, 0, 0, 267, 230, 352, 489, 509, 427, 393, 634, 438, HA
0, 0, 0, 0, 0, 0, 0, 0, 223, 246, 314, 489, 492, 448, 370, 672, 466, HA
0, 0, 0, 0, 0, 0, 0, 0, 273, 211, 373, 481, 516, 462, 324, 644, 435, HA
0, 0, 0, 0, 0, 0, 0, 0, 436, 256, 484, 408, 475, 393, 396, 370, 432, HA
0, 0, 0, 0, 0, 0, 0, 0, 412, 243, 468, 451, 532, 524, 313, 436, 277, NE
0, 0, 0, 0, 0, 0, 0, 0, 428, 245, 455, 455, 535, 488, 308, 427, 255, NE
0, 0, 0, 0, 0, 0, 0, 0, 357, 222, 405, 315, 517, 498, 247, 515, 360, NE
0, 0, 0, 0, 0, 0, 0, 0, 344, 247, 424, 308, 510, 508, 253, 460, 391, NE
0, 0, 0, 0, 0, 0, 0, 0, 429, 235, 526, 454, 535, 471, 313, 398, 248, NE
0, 0, 0, 0, 0, 0, 0, 0, 438, 253, 539, 433, 536, 461, 318, 396, 240, NE
0, 0, 0, 0, 0, 0, 0, 0, 315, 249, 294, 442, 499, 414, 420, 604, 434, NE
0, 0, 0, 0, 0, 0, 0, 0, 293, 259, 280, 461, 500, 388, 374, 582, 413, NE
0, 0, 0, 0, 0, 0, 0, 0, 277, 216, 298, 462, 508, 375, 387, 632, 395, NE
0, 0, 0, 0, 0, 0, 0, 0, 293, 203, 305, 486, 516, 372, 390, 623, 419, NE
0, 0, 0, 0, 0, 0, 0, 0, 436, 184, 492, 270, 412, 408, 325, 540, 349, NE
0, 0, 0, 0, 0, 0, 0, 0, 366, 193, 479, 290, 430, 420, 284, 525, 364, NE
0, 0, 0, 0, 1, 0, 0, 0, 336, 456, 436, 376, 516, 392, 247, 359, 206, SA
0, 0, 0, 0, 0, 0, 0, 0, 433, 461, 552, 508, 569, 522, 306, 429, 277, SA
0, 0, 0, 0, 0, 0, 0, 0, 238, 460, 337, 449, 460, 430, 295, 589, 331, SA
0, 0, 0, 0, 0, 0, 0, 0, 285, 507, 376, 442, 491, 426, 355, 613, 332, SA
0, 0, 0, 0, 0, 0, 0, 0, 390, 295, 427, 367, 510, 493, 318, 504, 394, SA
0, 0, 0, 0, 0, 0, 0, 0, 383, 298, 486, 378, 534, 500, 338, 521, 382, SA
0, 0, 0, 0, 0, 0, 0, 0, 481, 472, 606, 448, 551, 496, 305, 430, 289, SU
0, 0, 0, 0, 0, 0, 0, 0, 374, 435, 377, 484, 485, 462, 329, 603, 349, SU
0, 0, 0, 0, 0, 0, 0, 0, 449, 394, 523, 510, 472, 495, 313, 480, 328, SU
0, 0, 0, 0, 0, 0, 0, 0, 502, 462, 565, 536, 540, 521, 342, 491, 355, SU
0, 0, 0, 0, 0, 0, 0, 0, 389, 428, 478, 307, 503, 496, 245, 437, 328, SU
0, 0, 0, 0, 0, 0, 0, 0, 403, 534, 502, 321, 532, 460, 312, 479, 351, SU
0, 0, 0, 0, 0, 0, 0, 0, 383, 509, 426, 513, 454, 495, 322, 563, 370, SU
0, 0, 0, 0, 0, 0, 0, 0, 403, 508, 401, 478, 452, 501, 300, 593, 345, SU
0, 0, 0, 0, 0, 0, 0, 0, 217, 243, 397, 426, 469, 422, 371, 565, 365, SU
0, 0, 0, 0, 0, 0, 0, 0, 196, 233, 409, 410, 505, 444, 389, 564, 372, SU
0, 0, 0, 0, 0, 0, 0, 0, 493, 469, 578, 386, 461, 445, 295, 543, 322, SU
0, 0, 0, 0, 0, 0, 0, 0, 418, 451, 517, 393, 434, 431, 282, 599, 369, SU
0, 0, 0, 0, 0, 0, 0, 0, 495, 509, 598, 489, 483, 440, 304, 567, 325, SU
0, 0, 0, 0, 0, 0, 0, 0, 513, 514, 539, 453, 470, 424, 261, 526, 309, SU
0, 0, 0, 0, 0, 0, 0, 0, 208, 276, 132, 370, 546, 383, 337, 461, 340, HA
0, 0, 1, 0, 0, 0, 0, 0, 196, 310, 134, 364, 498, 297, 229, 498, 246, NE
0, 0, 0, 0, 0, 0, 0, 0, 229, 263, 199, 352, 504, 341, 246, 517, 272, SA
0, 0, 0, 0, 0, 0, 0, 0, 375, 306, 201, 401, 549, 341, 261, 478, 255, SU
0, 0, 0, 0, 0, 0, 0, 0, 389, 83, 136, 352, 331, 385, 172, 231, 192, HA
0, 0, 0, 0, 0, 0, 0, 0, 336, 59, 128, 360, 332, 362, 177, 246, 224, NE
0, 0, 0, 0, 0, 0, 0, 0, 383, 85, 137, 371, 362, 274, 196, 259, 201, SA
0, 0, 0, 0, 0, 0, 0, 0, 427, 340, 355, 391, 286, 333, 139, 218, 174, SU
0, 0, 0, 0, 0, 0, 0, 0, 192, 115, 116, 348, 395, 303, 240, 473, 268, HA
0, 0, 0, 0, 0, 0, 0, 0, 232, 170, 109, 342, 355, 255, 211, 371, 223, NE
0, 0, 0, 0, 0, 0, 0, 0, 187, 185, 96, 327, 378, 244, 171, 421, 262, SA
0, 0, 0, 0, 0, 0, 0, 0, 357, 227, 191, 400, 399, 301, 169, 318, 184, SU
0, 0, 0, 0, 0, 0, 0, 0, 216, 188, 249, 324, 287, 343, 278, 585, 230, HA
0, 0, 0, 0, 1, 0, 0, 0, 185, 182, 170, 309, 255, 317, 220, 375, 192, NE
0, 0, 0, 0, 1, 0, 0, 0, 185, 182, 170, 309, 255, 317, 220, 375, 192, SA
0, 0, 0, 0, 0, 0, 0, 0, 245, 214, 139, 291, 279, 338, 227, 333, 202, SU
0, 0, 0, 0, 0, 0, 0, 0, 309, 122, 280, 399, 512, 346, 259, 443, 252, HA
0, 0, 0, 0, 0, 0, 0, 0, 301, 133, 282, 385, 483, 418, 238, 373, 280, NE
0, 0, 0, 0, 0, 0, 0, 0, 303, 142, 294, 421, 453, 388, 242, 429, 314, SA
0, 0, 0, 0, 0, 0, 0, 0, 398, 132, 311, 394, 468, 482, 266, 344, 310, SU
0, 0, 0, 0, 1, 0, 0, 0, 165, 192, 174, 307, 547, 395, 307, 523, 286, HA
0, 0, 1, 0, 0, 0, 0, 0, 172, 233, 163, 314, 513, 324, 263, 406, 242, NE
0, 0, 0, 0, 0, 0, 0, 0, 166, 231, 127, 346, 490, 350, 271, 564, 285, SA
0, 0, 1, 0, 0, 0, 0, 0, 297, 203, 218, 343, 470, 287, 221, 373, 182, SU
0, 0, 0, 0, 0, 0, 0, 0, 327, 110, 285, 382, 383, 442, 324, 422, 326, HA
0, 0, 1, 0, 0, 0, 0, 0, 334, 85, 179, 321, 299, 312, 241, 396, 244, NE
0, 0, 0, 0, 0, 0, 0, 0, 187, 86, 260, 301, 312, 330, 279, 474, 297, SA
0, 0, 0, 0, 0, 0, 0, 0, 199, 169, 371, 318, 299, 334, 283, 509, 282, SU
0, 0, 1, 0, 0, 0, 0, 0, 420, 163, 280, 533, 603, 531, 402, 525, 357, HA
0, 0, 0, 0, 0, 0, 0, 0, 280, 143, 237, 534, 491, 460, 203, 540, 243, NE
0, 0, 0, 0, 0, 0, 0, 0, 456, 203, 274, 552, 644, 489, 318, 458, 276, SA
0, 0, 0, 0, 0, 0, 0, 0, 407, 348, 368, 477, 594, 517, 243, 362, 232, SU
0, 0, 0, 0, 1, 0, 0, 0, 307, 146, 318, 401, 373, 370, 340, 310, 367, HA
0, 0, 0, 0, 0, 0, 0, 0, 321, 153, 311, 427, 363, 317, 323, 352, 338, NE
0, 0, 0, 0, 0, 0, 0, 0, 325, 106, 248, 404, 414, 320, 231, 355, 320, SA
0, 0, 0, 0, 0, 0, 0, 0, 306, 184, 336, 402, 341, 324, 273, 411, 328, SU
0, 0, 0, 0, 0, 0, 0, 0, 288, 163, 195, 336, 370, 326, 251, 515, 284, HA
0, 0, 0, 0, 0, 0, 0, 0, 262, 152, 174, 308, 367, 280, 193, 341, 203, NE
0, 0, 0, 0, 0, 0, 0, 0, 249, 138, 190, 296, 387, 300, 225, 366, 245, SA
0, 0, 0, 0, 0, 0, 0, 0, 340, 136, 274, 403, 391, 331, 189, 357, 202, SU
0, 0, 0, 0, 0, 0, 0, 0, 329, 232, 342, 277, 274, 257, 251, 218, 253, HA
0, 0, 1, 0, 1, 0, 0, 0, 328, 226, 330, 285, 244, 261, 232, 270, 246, NE
0, 0, 0, 0, 0, 0, 0, 0, 279, 230, 367, 324, 232, 271, 277, 392, 289, SA
0, 0, 0, 0, 0, 0, 0, 0, 370, 301, 348, 309, 240, 255, 274, 365, 209, SU
0, 0, 0, 0, 0, 0, 0, 0, 311, 100, 295, 410, 408, 354, 292, 364, 337, HA
0, 0, 0, 0, 0, 0, 0, 0, 363, 131, 201, 391, 411, 339, 168, 470, 227, NE
0, 0, 0, 0, 0, 0, 0, 0, 372, 158, 221, 443, 416, 303, 172, 546, 262, SA
0, 0, 0, 0, 0, 0, 0, 0, 398, 225, 366, 464, 464, 356, 159, 391, 198, SU
0, 0, 0, 0, 0, 0, 0, 0, 296, 222, 175, 525, 509, 543, 195, 359, 220, HA
0, 0, 0, 0, 0, 0, 0, 0, 244, 216, 175, 533, 516, 600, 85, 286, 169, NE
0, 0, 0, 0, 0, 0, 0, 0, 299, 234, 206, 519, 499, 590, 274, 449, 282, SA
0, 0, 0, 0, 0, 0, 0, 0, 342, 287, 243, 518, 489, 608, 128, 469, 208, SU
0, 0, 1, 0, 0, 0, 0, 0, 184, 196, 130, 339, 309, 275, 158, 345, 202, HA
0, 0, 2, 0, 0, 0, 0, 0, 213, 233, 170, 375, 284, 279, 189, 489, 187, NE
0, 0, 1, 0, 0, 0, 0, 0, 199, 193, 141, 373, 264, 294, 181, 446, 147, SA
0, 0, 2, 0, 0, 0, 0, 0, 273, 214, 188, 375, 255, 283, 196, 487, 179, SU
0, 0, 0, 0, 0, 0, 0, 0, 165, 133, 429, 482, 519, 330, 366, 486, 460, AN
0, 0, 0, 0, 0, 0, 0, 0, 172, 220, 255, 259, 323, 284, 416, 456, 378, AN
0, 0, 0, 0, 0, 0, 0, 0, 555, 742, 640, 388, 544, 377, 289, 607, 450, AN
0, 0, 0, 0, 0, 0, 0, 0, 237, 106, 281, 353, 471, 295, 372, 554, 271, AN
0, 0, 0, 0, 0, 0, 0, 0, 522, 399, 466, 577, 607, 593, 465, 513, 441, AN
0, 0, 0, 0, 0, 0, 0, 0, 312, 90, 344, 434, 491, 472, 380, 447, 311, AN
0, 0, 0, 0, 0, 0, 0, 0, 478, 278, 465, 399, 568, 410, 457, 604, 476, AN
0, 0, 0, 0, 0, 0, 0, 0, 345, 160, 176, 366, 332, 223, 247, 387, 207, AN
0, 0, 0, 0, 0, 0, 0, 0, 318, 153, 357, 390, 401, 295, 233, 399, 289, HA
0, 0, 0, 0, 0, 0, 0, 0, 264, 197, 344, 325, 376, 313, 250, 496, 287, NE
0, 0, 0, 0, 0, 0, 0, 0, 250, 163, 339, 331, 358, 261, 224, 390, 271, SA
0, 0, 0, 0, 0, 0, 0, 0, 391, 257, 404, 400, 400, 375, 348, 532, 387, SU
0, 0, 0, 0, 0, 0, 0, 0, 356, 121, 89, 297, 447, 336, 284, 301, 258, AN
0, 0, 0, 0, 0, 0, 0, 0, 3, 47, 316, 250, 239, 253, 258, 261, 183, AN
0, 0, 0, 0, 0, 0, 0, 0, 357, 399, 542, 435, 692, 451, 251, 585, 573, AN
0, 0, 0, 0, 0, 0, 0, 0, 344, 167, 224, 238, 168, 141, 158, 299, 103, AN
0, 0, 0, 0, 0, 0, 0, 0, 453, 212, 444, 508, 599, 463, 590, 729, 537, AN
0, 0, 0, 0, 0, 0, 0, 0, 233, 307, 431, 411, 542, 348, 323, 497, 307, AN
0, 0, 0, 0, 0, 0, 0, 0, 454, 418, 302, 404, 474, 379, 267, 591, 246, AN
0, 0, 0, 0, 0, 0, 0, 0, 302, 88, 264, 229, 405, 356, 406, 213, 225, AN
0, 0, 0, 0, 0, 0, 0, 0, 418, 249, 467, 425, 485, 435, 366, 585, 446, AN
0, 0, 0, 0, 0, 0, 0, 0, 242, 344, 370, 233, 442, 402, 144, 511, 141, DI
0, 0, 0, 0, 0, 0, 0, 0, 272, 387, 435, 282, 458, 441, 196, 560, 227, DI
0, 0, 0, 0, 0, 0, 0, 0, 203, 329, 391, 225, 496, 396, 204, 551, 187, DI
0, 0, 0, 0, 0, 0, 0, 0, 244, 335, 351, 246, 416, 402, 146, 583, 177, FE
0, 0, 0, 0, 0, 0, 0, 0, 226, 354, 445, 300, 441, 485, 179, 690, 226, FE
0, 0, 0, 0, 0, 0, 0, 0, 256, 404, 438, 322, 467, 465, 188, 505, 258, FE
0, 0, 0, 0, 0, 0, 0, 0, 405, 396, 401, 321, 425, 408, 201, 491, 259, FE
0, 0, 1, 0, 0, 0, 0, 0, 310, 158, 302, 270, 373, 390, 194, 559, 197, HA
0, 0, 0, 0, 0, 0, 0, 0, 291, 188, 313, 284, 379, 436, 234, 607, 209, HA
0, 0, 0, 0, 0, 0, 0, 0, 364, 297, 384, 336, 398, 464, 311, 652, 272, HA
0, 0, 0, 0, 0, 0, 0, 0, 342, 244, 393, 298, 383, 420, 191, 471, 238, HA
0, 0, 0, 0, 0, 0, 0, 0, 322, 166, 348, 283, 365, 390, 157, 414, 228, NE
0, 0, 0, 0, 0, 0, 0, 0, 309, 191, 339, 289, 385, 397, 167, 418, 222, NE
0, 0, 0, 0, 0, 0, 0, 0, 350, 212, 399, 313, 399, 434, 208, 474, 264, NE
0, 0, 0, 0, 0, 0, 0, 0, 296, 272, 398, 296, 387, 424, 201, 484, 229, SA
0, 0, 0, 0, 0, 0, 0, 0, 334, 303, 417, 333, 423, 424, 225, 455, 214, SA
0, 0, 1, 0, 0, 0, 0, 0, 279, 247, 319, 252, 364, 389, 172, 435, 146, SA
0, 0, 1, 0, 0, 0, 0, 0, 341, 354, 324, 219, 431, 404, 184, 396, 140, SU
0, 0, 0, 0, 0, 0, 0, 0, 375, 350, 369, 344, 397, 438, 229, 420, 196, SU
0, 0, 0, 0, 0, 0, 0, 0, 353, 321, 412, 305, 397, 420, 189, 413, 177, SU
0, 0, 1, 0, 0, 0, 0, 0, 291, 334, 371, 230, 426, 338, 103, 438, 280, DI
0, 0, 2, 0, 0, 0, 0, 0, 209, 308, 290, 201, 415, 282, 57, 410, 216, DI
0, 0, 3, 0, 0, 0, 0, 0, 213, 304, 275, 177, 426, 287, 45, 405, 221, DI
0, 0, 2, 0, 0, 0, 0, 0, 226, 368, 275, 216, 419, 294, 67, 432, 209, DI
0, 0, 0, 0, 0, 0, 0, 0, 271, 371, 381, 246, 456, 301, 124, 441, 232, FE
0, 0, 1, 0, 1, 0, 0, 0, 288, 398, 356, 262, 434, 351, 107, 427, 243, FE
0, 0, 1, 0, 0, 0, 0, 0, 234, 316, 294, 195, 461, 289, 60, 376, 193, FE
0, 0, 0, 0, 0, 0, 0, 0, 238, 248, 373, 260, 411, 336, 161, 412, 260, HA
0, 0, 0, 0, 0, 0, 0, 0, 257, 292, 401, 257, 425, 360, 184, 433, 270, HA
0, 0, 1, 0, 0, 0, 0, 0, 234, 268, 352, 261, 425, 352, 152, 465, 267, HA
0, 0, 0, 0, 0, 0, 0, 0, 251, 302, 357, 234, 470, 335, 117, 361, 216, NE
0, 0, 1, 0, 1, 0, 0, 1, 189, 253, 270, 188, 458, 291, 63, 311, 147, NE
0, 0, 2, 0, 1, 0, 0, 0, 167, 254, 271, 203, 432, 286, 81, 305, 160, NE
0, 0, 2, 0, 0, 0, 0, 0, 182, 295, 269, 215, 421, 313, 48, 353, 194, SA
0, 0, 1, 0, 0, 0, 0, 0, 175, 271, 285, 207, 439, 306, 48, 332, 195, SA
0, 0, 2, 0, 0, 0, 0, 0, 201, 311, 274, 210, 433, 294, 86, 352, 187, SA
0, 0, 0, 0, 0, 0, 0, 0, 299, 318, 399, 251, 449, 328, 75, 375, 212, SU
0, 0, 0, 0, 0, 0, 0, 0, 250, 273, 352, 227, 420, 297, 20, 322, 109, SU
0, 0, 0, 0, 0, 0, 0, 0, 224, 252, 348, 216, 435, 280, 29, 352, 137, SU
0, 0, 0, 0, 0, 0, 0, 0, 332, 358, 470, 260, 431, 284, 190, 256, 270, DI
0, 0, 0, 0, 0, 0, 0, 0, 281, 343, 439, 262, 460, 292, 235, 287, 290, DI
0, 0, 0, 0, 0, 0, 0, 0, 331, 279, 513, 324, 476, 385, 233, 328, 338, FE
0, 0, 0, 0, 0, 0, 0, 0, 340, 247, 406, 328, 448, 340, 265, 329, 286, FE
0, 0, 0, 0, 0, 0, 0, 0, 310, 278, 422, 282, 443, 340, 164, 292, 324, FE
0, 0, 0, 0, 0, 0, 0, 0, 350, 205, 504, 318, 406, 368, 311, 468, 344, HA
0, 0, 0, 0, 0, 0, 0, 0, 314, 194, 421, 277, 417, 354, 250, 395, 360, HA
0, 0, 0, 0, 0, 0, 0, 0, 329, 219, 455, 326, 419, 399, 302, 396, 370, HA
0, 0, 0, 0, 0, 0, 0, 0, 354, 223, 499, 286, 434, 363, 333, 480, 404, HA
0, 0, 0, 0, 0, 0, 0, 0, 301, 151, 385, 237, 352, 309, 214, 303, 259, NE
0, 0, 0, 0, 0, 0, 0, 0, 339, 208, 444, 296, 362, 343, 234, 331, 291, NE
0, 0, 0, 0, 0, 0, 0, 0, 308, 162, 397, 246, 373, 295, 216, 258, 258, NE
0, 0, 0, 0, 0, 0, 0, 0, 283, 231, 458, 257, 378, 309, 163, 292, 261, SA
0, 0, 1, 0, 0, 0, 0, 0, 385, 282, 489, 284, 384, 313, 204, 323, 284, SA
