@RELATION	'emotions'

@ATTRIBUTE	eyes	NUMERIC
@ATTRIBUTE	eyes2	NUMERIC
@ATTRIBUTE	mouth	NUMERIC
@ATTRIBUTE	s_0	NUMERIC
@ATTRIBUTE	s_1	NUMERIC
@ATTRIBUTE	s_2	NUMERIC
@ATTRIBUTE	s_3	NUMERIC
@ATTRIBUTE	s_4	NUMERIC
@ATTRIBUTE	cpt_0	NUMERIC
@ATTRIBUTE	cpt_1	NUMERIC
@ATTRIBUTE	cpt_2	NUMERIC
@ATTRIBUTE	cpt_3	NUMERIC
@ATTRIBUTE	cpt_4	NUMERIC
@ATTRIBUTE	cpt_5	NUMERIC
@ATTRIBUTE	cpt_6	NUMERIC
@ATTRIBUTE	cpt_7	NUMERIC
@ATTRIBUTE	cpt_8	NUMERIC
@ATTRIBUTE	cpt_9	NUMERIC
@ATTRIBUTE	cpt_10	NUMERIC
@ATTRIBUTE	cpt_11	NUMERIC
@ATTRIBUTE	cpt_12	NUMERIC
@ATTRIBUTE	cpt_13	NUMERIC
@ATTRIBUTE	cpt_14	NUMERIC
@ATTRIBUTE	cpt_15	NUMERIC
@ATTRIBUTE	emotion	{AN,DI,FE,HA,NE,SA,SU}

@DATA
0, 0, 0, 0, 0, 0, 0, 0, 232, 184, 144, 315, 327, 405, 349, 382, 282, 245, 252, 297, 195, 279, 309, 227, DI
0, 0, 0, 0, 0, 0, 0, 0, 209, 182, 130, 321, 320, 390, 351, 382, 262, 235, 257, 294, 206, 289, 317, 241, DI
0, 0, 0, 0, 0, 0, 0, 0, 253, 183, 228, 269, 381, 306, 357, 374, 214, 251, 299, 230, 137, 256, 267, 161, DI
0, 0, 0, 0, 0, 0, 0, 0, 162, 210, 248, 279, 334, 388, 362, 387, 235, 285, 294, 235, 166, 310, 340, 179, DI
0, 0, 0, 0, 0, 0, 0, 0, 208, 65, 52, 243, 310, 408, 389, 290, 208, 294, 301, 234, 202, 257, 211, 129, DI
0, 0, 0, 0, 0, 0, 0, 0, 251, 53, 31, 255, 264, 369, 352, 351, 184, 230, 262, 239, 183, 220, 341, 208, DI
0, 0, 0, 0, 0, 0, 0, 0, 254, 84, 53, 268, 260, 395, 368, 367, 181, 250, 270, 242, 205, 229, 359, 249, DI
0, 0, 0, 0, 0, 0, 0, 0, 204, 106, 102, 248, 260, 368, 330, 255, 208, 239, 257, 218, 183, 269, 291, 192, DI
0, 0, 0, 0, 0, 0, 0, 0, 209, 110, 105, 237, 258, 344, 330, 257, 196, 225, 259, 230, 168, 271, 286, 204, DI
0, 0, 0, 0, 0, 0, 0, 0, 220, 83, 53, 239, 293, 416, 388, 296, 229, 287, 275, 243, 215, 259, 240, 125, DI
0, 0, 0, 0, 0, 0, 0, 0, 166, 52, 56, 237, 204, 290, 346, 306, 255, 241, 330, 211, 203, 246, 275, 163, DI
0, 0, 0, 0, 0, 0, 0, 0, 165, 67, 61, 219, 202, 297, 337, 294, 263, 256, 341, 201, 208, 235, 272, 164, DI
0, 0, 0, 0, 0, 0, 0, 0, 152, 79, 73, 218, 199, 291, 344, 301, 253, 244, 345, 202, 198, 231, 286, 175, DI
0, 0, 0, 0, 0, 0, 0, 0, 65, 131, 194, 112, 250, 372, 346, 242, 189, 250, 230, 226, 177, 290, 338, 153, DI
0, 0, 0, 0, 0, 0, 0, 0, 74, 119, 198, 99, 233, 383, 328, 255, 182, 267, 243, 224, 183, 287, 338, 149, DI
0, 0, 0, 0, 0, 0, 0, 0, 77, 104, 149, 143, 188, 374, 347, 235, 202, 262, 239, 223, 166, 274, 311, 128, DI
0, 0, 0, 0, 0, 0, 0, 0, 240, 251, 284, 271, 337, 357, 356, 339, 280, 192, 221, 266, 206, 257, 252, 228, FE
0, 0, 0, 0, 0, 0, 0, 0, 230, 239, 282, 300, 316, 390, 338, 375, 275, 230, 230, 254, 152, 290, 294, 182, FE
0, 0, 0, 0, 0, 0, 0, 0, 216, 67, 59, 244, 253, 366, 365, 328, 153, 209, 237, 235, 171, 230, 337, 213, FE
0, 0, 0, 0, 0, 0, 0, 0, 221, 73, 49, 237, 230, 380, 359, 336, 166, 225, 250, 246, 174, 227, 357, 232, FE
0, 0, 0, 0, 0, 0, 0, 0, 193, 151, 191, 235, 251, 364, 333, 280, 187, 238, 268, 197, 230, 261, 309, 210, FE
0, 0, 0, 0, 0, 0, 0, 0, 186, 176, 197, 240, 224, 394, 373, 299, 173, 217, 271, 226, 199, 244, 289, 202, FE
0, 0, 0, 0, 0, 0, 0, 0, 190, 87, 79, 253, 295, 436, 350, 371, 242, 297, 306, 249, 216, 232, 224, 141, HA
0, 0, 0, 0, 0, 0, 0, 0, 163, 39, 35, 186, 283, 426, 345, 349, 215, 314, 309, 215, 184, 189, 169, 114, HA
0, 0, 0, 0, 0, 0, 0, 0, 143, 54, 57, 220, 154, 317, 313, 329, 234, 271, 325, 205, 198, 261, 267, 184, HA
0, 0, 0, 0, 0, 0, 0, 0, 125, 56, 48, 213, 157, 306, 327, 315, 223, 275, 328, 205, 195, 253, 268, 158, HA
0, 0, 0, 0, 0, 0, 0, 0, 154, 47, 40, 184, 180, 337, 298, 280, 216, 320, 305, 242, 232, 279, 318, 163, HA
0, 0, 0, 0, 0, 0, 0, 0, 101, 44, 56, 196, 187, 319, 325, 299, 244, 248, 342, 211, 206, 260, 250, 161, HA
0, 0, 0, 0, 0, 0, 0, 0, 82, 91, 164, 143, 253, 385, 359, 235, 214, 325, 282, 266, 185, 395, 429, 160, HA
0, 0, 1, 0, 0, 0, 0, 0, 64, 74, 169, 90, 258, 394, 351, 235, 208, 291, 260, 247, 156, 371, 403, 163, HA
0, 0, 0, 0, 0, 0, 0, 0, 77, 88, 150, 103, 255, 390, 351, 240, 208, 299, 258, 233, 168, 355, 410, 163, HA
0, 0, 0, 0, 0, 0, 0, 0, 64, 121, 160, 153, 166, 328, 295, 212, 211, 201, 203, 212, 144, 311, 394, 175, HA
0, 0, 0, 0, 0, 0, 0, 0, 77, 68, 114, 163, 191, 386, 340, 207, 215, 253, 248, 227, 121, 308, 415, 190, HA
0, 0, 0, 0, 0, 0, 0, 0, 106, 89, 153, 146, 226, 373, 365, 243, 202, 252, 279, 250, 181, 330, 436, 186, HA
0, 0, 0, 0, 0, 0, 0, 0, 202, 83, 61, 241, 308, 443, 356, 357, 247, 352, 356, 245, 183, 204, 207, 172, HA
0, 0, 0, 0, 0, 0, 0, 0, 93, 73, 140, 139, 202, 365, 348, 210, 231, 242, 229, 243, 109, 283, 373, 173, HA
0, 0, 0, 0, 0, 0, 0, 0, 109, 88, 165, 152, 182, 375, 336, 223, 238, 241, 242, 249, 157, 288, 366, 187, HA
0, 0, 0, 0, 0, 0, 0, 0, 104, 43, 59, 156, 193, 369, 347, 234, 213, 227, 207, 241, 149, 298, 339, 166, HA
0, 0, 0, 0, 0, 0, 0, 0, 177, 13, 18, 234, 167, 389, 353, 220, 260, 229, 221, 299, 159, 356, 407, 230, HA
0, 0, 0, 0, 0, 0, 0, 0, 195, 45, 48, 252, 176, 383, 342, 236, 270, 253, 246, 293, 155, 361, 410, 252, HA
0, 0, 0, 0, 0, 0, 0, 0, 261, 201, 171, 306, 349, 386, 340, 380, 256, 246, 278, 229, 177, 280, 266, 189, HA
0, 0, 0, 0, 0, 0, 0, 0, 255, 199, 182, 300, 329, 390, 329, 378, 269, 248, 269, 239, 179, 288, 269, 206, HA
0, 0, 0, 0, 0, 0, 0, 0, 270, 179, 148, 305, 358, 398, 339, 423, 266, 286, 289, 257, 190, 324, 342, 207, HA
0, 0, 0, 0, 0, 0, 0, 0, 260, 174, 147, 323, 334, 417, 310, 422, 267, 291, 257, 248, 185, 291, 317, 223, HA
0, 0, 0, 0, 0, 0, 0, 0, 216, 33, 27, 240, 278, 376, 369, 345, 172, 202, 236, 228, 192, 283, 335, 251, HA
0, 0, 0, 0, 0, 0, 0, 0, 200, 104, 77, 238, 294, 424, 369, 351, 237, 349, 347, 240, 159, 210, 202, 157, HA
0, 0, 0, 0, 0, 0, 0, 0, 217, 66, 42, 243, 274, 374, 378, 358, 179, 202, 248, 240, 170, 302, 358, 260, HA
0, 0, 0, 0, 0, 0, 0, 0, 245, 35, 11, 264, 257, 341, 338, 348, 171, 179, 223, 239, 151, 217, 292, 226, HA
0, 0, 0, 0, 0, 0, 0, 0, 246, 50, 32, 255, 278, 374, 355, 354, 199, 215, 261, 260, 174, 243, 334, 257, HA
0, 0, 0, 0, 0, 0, 0, 0, 219, 52, 34, 246, 280, 387, 344, 365, 174, 203, 254, 261, 179, 249, 367, 252, HA
0, 0, 0, 0, 0, 0, 0, 0, 215, 56, 72, 247, 253, 339, 360, 366, 162, 217, 215, 247, 190, 325, 356, 251, HA
0, 0, 0, 0, 0, 0, 0, 0, 207, 66, 49, 239, 237, 346, 370, 373, 158, 212, 230, 238, 161, 298, 353, 243, HA
0, 0, 0, 0, 0, 0, 0, 0, 193, 44, 58, 234, 296, 349, 361, 319, 201, 223, 254, 221, 158, 322, 361, 232, HA
0, 0, 0, 0, 0, 0, 0, 0, 194, 78, 68, 262, 310, 422, 389, 356, 254, 317, 340, 254, 209, 181, 190, 154, HA
0, 0, 0, 0, 0, 0, 0, 0, 196, 58, 65, 254, 304, 419, 387, 344, 256, 297, 306, 243, 209, 202, 204, 165, HA
0, 0, 0, 0, 0, 0, 0, 0, 181, 83, 96, 197, 250, 297, 325, 297, 285, 271, 358, 250, 185, 315, 317, 204, HA
0, 0, 0, 0, 0, 0, 0, 0, 173, 72, 97, 182, 260, 318, 332, 280, 273, 276, 362, 233, 199, 293, 321, 200, HA
0, 0, 0, 0, 0, 0, 0, 0, 113, 87, 104, 138, 258, 337, 322, 298, 244, 284, 360, 230, 175, 317, 343, 212, HA
0, 0, 0, 0, 0, 0, 0, 0, 142, 79, 90, 198, 291, 334, 316, 312, 219, 266, 389, 229, 175, 283, 312, 210, HA
0, 0, 0, 0, 0, 0, 0, 0, 278, 129, 156, 279, 257, 266, 309, 267, 211, 185, 243, 170, 248, 196, 264, 298, HA
0, 0, 0, 0, 0, 0, 0, 0, 198, 142, 77, 244, 278, 366, 381, 317, 240, 200, 209, 250, 201, 244, 221, 174, NE
0, 0, 0, 0, 0, 0, 0, 0, 233, 169, 78, 241, 267, 361, 346, 303, 228, 203, 193, 242, 192, 248, 229, 159, NE
0, 0, 0, 0, 0, 0, 0, 0, 198, 59, 42, 232, 221, 361, 380, 318, 145, 208, 250, 219, 160, 209, 281, 213, NE
0, 0, 0, 0, 0, 0, 0, 0, 192, 61, 65, 244, 214, 347, 382, 322, 152, 205, 250, 234, 164, 189, 265, 227, NE
0, 0, 0, 0, 0, 0, 0, 0, 220, 133, 100, 330, 293, 374, 378, 230, 211, 189, 196, 252, 203, 229, 202, 145, NE
0, 0, 0, 0, 0, 0, 0, 0, 229, 126, 112, 317, 278, 367, 383, 252, 215, 191, 205, 253, 207, 243, 197, 119, NE
0, 0, 0, 0, 0, 0, 0, 0, 132, 115, 115, 115, 270, 341, 302, 257, 227, 221, 267, 229, 287, 306, 371, 231, NE
0, 0, 0, 0, 0, 0, 0, 0, 115, 107, 131, 93, 272, 352, 301, 260, 231, 194, 269, 207, 256, 307, 353, 210, NE
0, 0, 0, 0, 0, 0, 0, 0, 175, 61, 92, 148, 271, 323, 318, 226, 266, 223, 308, 231, 204, 293, 335, 164, NE
0, 0, 0, 0, 0, 0, 0, 0, 182, 64, 94, 155, 279, 314, 324, 239, 282, 227, 294, 229, 219, 284, 346, 166, NE
0, 0, 0, 0, 0, 0, 0, 0, 311, 42, 39, 329, 130, 362, 314, 239, 160, 190, 192, 247, 220, 245, 292, 168, NE
0, 0, 0, 0, 0, 0, 0, 0, 227, 46, 34, 310, 144, 364, 327, 258, 166, 210, 212, 248, 185, 232, 265, 180, NE
0, 0, 0, 0, 1, 0, 0, 0, 134, 259, 206, 224, 267, 319, 319, 253, 170, 157, 168, 203, 176, 213, 198, 126, SA
0, 0, 0, 0, 0, 0, 0, 0, 190, 284, 208, 307, 297, 385, 391, 301, 252, 207, 227, 267, 204, 236, 224, 158, SA
0, 0, 0, 0, 0, 0, 0, 0, 78, 189, 202, 137, 240, 383, 325, 237, 215, 275, 221, 244, 163, 301, 283, 169, SA
0, 0, 0, 0, 0, 0, 0, 0, 99, 278, 217, 163, 230, 366, 347, 229, 211, 288, 244, 251, 209, 324, 296, 167, SA
0, 0, 0, 0, 0, 0, 0, 0, 197, 93, 92, 241, 256, 369, 377, 303, 176, 224, 267, 221, 201, 249, 279, 218, SA
0, 0, 0, 0, 0, 0, 0, 0, 193, 116, 104, 257, 255, 384, 371, 330, 179, 233, 278, 210, 213, 251, 286, 219, SA
0, 0, 0, 0, 0, 0, 0, 0, 238, 348, 316, 368, 266, 338, 319, 268, 218, 195, 189, 246, 200, 247, 232, 166, SU
0, 0, 0, 0, 0, 0, 0, 0, 184, 213, 221, 183, 304, 339, 324, 302, 244, 211, 284, 223, 181, 291, 327, 153, SU
0, 0, 0, 0, 0, 0, 0, 0, 254, 183, 160, 278, 341, 377, 347, 338, 262, 197, 202, 245, 153, 272, 255, 163, SU
0, 0, 0, 0, 0, 0, 0, 0, 275, 225, 251, 298, 350, 437, 357, 361, 262, 219, 224, 241, 175, 257, 280, 176, SU
0, 0, 0, 0, 0, 0, 0, 0, 185, 256, 209, 236, 206, 355, 353, 341, 133, 188, 224, 200, 174, 186, 205, 209, SU
0, 0, 0, 0, 0, 0, 0, 0, 205, 273, 311, 244, 226, 355, 337, 313, 129, 216, 231, 199, 218, 230, 215, 231, SU
0, 0, 0, 0, 0, 0, 0, 0, 195, 260, 280, 218, 313, 333, 314, 318, 257, 192, 252, 228, 170, 293, 343, 159, SU
0, 0, 0, 0, 0, 0, 0, 0, 204, 266, 265, 198, 312, 341, 314, 325, 233, 186, 253, 226, 159, 298, 340, 152, SU
0, 0, 0, 0, 0, 0, 0, 0, 92, 105, 87, 210, 214, 323, 354, 286, 242, 189, 209, 195, 243, 274, 339, 198, SU
0, 0, 0, 0, 0, 0, 0, 0, 75, 88, 86, 206, 204, 322, 367, 324, 232, 213, 204, 209, 260, 279, 338, 214, SU
0, 0, 0, 0, 0, 0, 0, 0, 297, 323, 281, 335, 186, 327, 366, 239, 196, 222, 190, 238, 163, 267, 280, 149, SU
0, 0, 0, 0, 0, 0, 0, 0, 223, 315, 255, 294, 165, 331, 352, 251, 229, 227, 215, 223, 146, 268, 320, 171, SU
0, 0, 0, 0, 0, 0, 0, 0, 246, 248, 258, 283, 330, 433, 318, 351, 247, 250, 218, 217, 156, 269, 291, 148, SU
0, 0, 0, 0, 0, 0, 0, 0, 261, 239, 235, 257, 318, 423, 311, 339, 227, 232, 211, 207, 141, 243, 287, 139, SU
0, 0, 0, 0, 0, 0, 0, 0, 131, 128, 117, 51, 226, 268, 282, 212, 162, 329, 268, 175, 169, 218, 208, 216, HA
0, 0, 1, 0, 0, 0, 0, 0, 106, 126, 104, 43, 237, 284, 272, 155, 172, 181, 178, 170, 176, 245, 251, 163, NE
0, 0, 0, 0, 0, 0, 0, 0, 120, 182, 85, 97, 210, 234, 284, 221, 176, 207, 205, 167, 169, 236, 232, 189, SA
0, 0, 0, 0, 0, 0, 0, 0, 231, 152, 145, 72, 291, 327, 324, 136, 175, 201, 196, 178, 163, 243, 217, 195, SU
0, 0, 0, 0, 0, 0, 0, 0, 250, 1, 0, 61, 279, 246, 225, 240, 140, 128, 102, 185, 94, 157, 85, 119, HA
0, 0, 0, 0, 0, 0, 0, 0, 200, 8, 6, 61, 292, 247, 199, 252, 160, 97, 96, 184, 104, 135, 99, 137, NE
0, 0, 0, 0, 0, 0, 0, 0, 253, 9, 6, 66, 305, 243, 226, 198, 159, 107, 101, 154, 109, 152, 118, 124, SA
0, 0, 0, 0, 0, 0, 0, 0, 214, 187, 153, 187, 295, 285, 218, 243, 145, 78, 78, 181, 100, 130, 103, 94, SU
0, 0, 0, 0, 0, 0, 0, 0, 90, 40, 66, 16, 187, 319, 255, 103, 163, 179, 204, 165, 118, 218, 213, 159, HA
0, 0, 0, 0, 0, 0, 0, 0, 106, 63, 78, 23, 185, 320, 265, 94, 157, 131, 123, 168, 126, 205, 139, 145, NE
0, 0, 0, 0, 0, 0, 0, 0, 98, 59, 75, 22, 168, 299, 268, 107, 158, 127, 160, 136, 107, 169, 217, 148, SA
0, 0, 0, 0, 0, 0, 0, 0, 190, 131, 84, 131, 223, 344, 298, 95, 181, 103, 109, 189, 115, 154, 133, 135, SU
0, 0, 0, 0, 0, 0, 0, 0, 88, 42, 52, 135, 222, 248, 305, 212, 114, 194, 177, 124, 191, 297, 198, 155, HA
0, 0, 0, 0, 1, 0, 0, 0, 94, 17, 42, 85, 227, 223, 296, 193, 82, 144, 153, 116, 194, 133, 104, 147, NE
0, 0, 0, 0, 1, 0, 0, 0, 94, 17, 42, 85, 227, 223, 296, 193, 82, 144, 153, 116, 194, 133, 104, 147, SA
0, 0, 0, 0, 0, 0, 0, 0, 147, 30, 83, 86, 256, 181, 252, 166, 84, 134, 136, 151, 185, 173, 83, 166, SU
0, 0, 0, 0, 0, 0, 0, 0, 203, 1, 8, 163, 230, 348, 296, 228, 162, 216, 165, 151, 126, 276, 243, 141, HA
0, 0, 0, 0, 0, 0, 0, 0, 193, 1, 7, 155, 248, 318, 293, 259, 162, 191, 181, 265, 110, 266, 151, 137, NE
0, 0, 0, 0, 0, 0, 0, 0, 200, 2, 9, 175, 250, 324, 290, 251, 192, 173, 213, 206, 124, 272, 190, 173, SA
0, 0, 0, 0, 0, 0, 0, 0, 236, 36, 20, 156, 249, 355, 262, 301, 172, 196, 224, 264, 144, 225, 156, 148, SU
0, 0, 0, 0, 1, 0, 0, 0, 49, 76, 39, 47, 121, 384, 382, 173, 145, 235, 334, 140, 153, 272, 250, 144, HA
0, 0, 1, 0, 0, 0, 0, 0, 73, 108, 50, 47, 107, 374, 392, 148, 163, 193, 191, 137, 134, 237, 241, 108, NE
0, 0, 0, 0, 0, 0, 0, 0, 67, 112, 76, 26, 117, 360, 380, 145, 180, 212, 224, 126, 131, 293, 322, 134, SA
0, 0, 1, 0, 0, 0, 0, 0, 165, 93, 49, 68, 196, 354, 370, 197, 162, 175, 212, 59, 147, 97, 191, 127, SU
0, 0, 0, 0, 0, 0, 0, 0, 180, 24, 37, 161, 268, 274, 258, 280, 178, 271, 240, 197, 173, 158, 196, 151, HA
0, 0, 1, 0, 0, 0, 0, 0, 177, 10, 38, 37, 272, 269, 232, 234, 141, 153, 160, 139, 142, 155, 134, 159, NE
0, 0, 0, 0, 0, 0, 0, 0, 60, 19, 32, 122, 223, 263, 242, 227, 140, 169, 208, 157, 171, 179, 211, 150, SA
0, 0, 0, 0, 0, 0, 0, 0, 86, 42, 66, 195, 209, 299, 259, 256, 157, 161, 146, 149, 167, 206, 260, 124, SU
0, 0, 1, 0, 0, 0, 0, 0, 215, 97, 17, 153, 337, 432, 384, 273, 218, 272, 314, 215, 251, 268, 247, 246, HA
0, 0, 0, 0, 0, 0, 0, 0, 126, 19, 6, 107, 362, 370, 322, 296, 144, 240, 296, 135, 153, 242, 216, 191, NE
0, 0, 0, 0, 0, 0, 0, 0, 245, 70, 40, 132, 365, 396, 428, 230, 229, 294, 335, 204, 182, 243, 135, 203, SA
0, 0, 0, 0, 0, 0, 0, 0, 215, 150, 154, 226, 335, 373, 414, 275, 125, 223, 274, 158, 153, 208, 162, 155, SU
0, 0, 0, 0, 1, 0, 0, 0, 189, 34, 35, 142, 296, 260, 327, 269, 190, 154, 176, 172, 180, 183, 200, 218, HA
0, 0, 0, 0, 0, 0, 0, 0, 196, 14, 27, 138, 310, 273, 362, 255, 191, 113, 156, 177, 195, 193, 197, 205, NE
0, 0, 0, 0, 0, 0, 0, 0, 184, 0, 15, 104, 334, 273, 298, 240, 153, 148, 178, 167, 155, 186, 157, 228, SA
0, 0, 0, 0, 0, 0, 0, 0, 158, 45, 51, 147, 266, 292, 347, 261, 212, 100, 129, 143, 196, 124, 255, 226, SU
0, 0, 0, 0, 0, 0, 0, 0, 118, 61, 53, 87, 216, 277, 326, 170, 129, 258, 305, 120, 152, 196, 178, 193, HA
0, 0, 0, 0, 0, 0, 0, 0, 106, 39, 31, 88, 197, 258, 340, 178, 138, 138, 145, 121, 134, 149, 122, 169, NE
0, 0, 0, 0, 0, 0, 0, 0, 101, 39, 32, 100, 173, 267, 340, 162, 143, 135, 143, 140, 159, 182, 159, 181, SA
0, 0, 0, 0, 0, 0, 0, 0, 172, 61, 36, 182, 244, 279, 350, 187, 153, 112, 117, 120, 152, 170, 158, 173, SU
0, 0, 0, 0, 0, 0, 0, 0, 210, 118, 139, 170, 202, 168, 192, 197, 105, 123, 130, 101, 186, 142, 107, 194, HA
0, 0, 1, 0, 1, 0, 0, 0, 215, 101, 130, 177, 214, 201, 202, 203, 103, 65, 86, 105, 198, 133, 154, 193, NE
0, 0, 0, 0, 0, 0, 0, 0, 168, 125, 117, 219, 199, 226, 213, 217, 134, 90, 143, 108, 193, 207, 211, 184, SA
0, 0, 0, 0, 0, 0, 0, 0, 186, 165, 190, 171, 247, 226, 190, 212, 127, 58, 74, 112, 239, 132, 217, 164, SU
0, 0, 0, 0, 0, 0, 0, 0, 202, 1, 60, 190, 226, 251, 285, 169, 220, 161, 200, 173, 141, 220, 210, 200, HA
0, 0, 0, 0, 0, 0, 0, 0, 205, 5, 4, 105, 297, 320, 353, 175, 148, 132, 170, 116, 90, 244, 232, 156, NE
0, 0, 0, 0, 0, 0, 0, 0, 228, 21, 7, 105, 319, 288, 358, 182, 175, 164, 219, 115, 115, 214, 277, 162, SA
0, 0, 0, 0, 0, 0, 0, 0, 218, 84, 187, 183, 332, 290, 332, 218, 171, 120, 158, 156, 133, 144, 231, 139, SU
0, 0, 0, 0, 0, 0, 0, 0, 124, 92, 110, 23, 338, 369, 343, 296, 191, 242, 211, 244, 84, 173, 156, 133, HA
0, 0, 0, 0, 0, 0, 0, 0, 71, 79, 77, 16, 322, 420, 341, 354, 165, 214, 191, 254, 73, 94, 109, 97, NE
0, 0, 0, 0, 0, 0, 0, 0, 118, 81, 121, 31, 331, 374, 376, 291, 188, 235, 227, 257, 132, 249, 237, 147, SA
0, 0, 0, 0, 0, 0, 0, 0, 164, 108, 127, 66, 316, 411, 379, 326, 194, 203, 229, 231, 61, 206, 235, 120, SU
0, 0, 1, 0, 0, 0, 0, 0, 79, 50, 31, 9, 192, 288, 298, 153, 132, 139, 152, 122, 83, 168, 173, 129, HA
0, 0, 2, 0, 0, 0, 0, 0, 73, 68, 56, 18, 234, 312, 311, 173, 172, 149, 137, 134, 109, 205, 208, 115, NE
0, 0, 1, 0, 0, 0, 0, 0, 65, 56, 44, 13, 241, 296, 308, 174, 156, 132, 130, 126, 100, 177, 165, 112, SA
